case,comparator,days,beta_ECF,mean_kWh_day,CI95_low_kWh_day,CI95_high_kWh_day,error_minus_kWh_day,error_plus_kWh_day,all_physical_checks_pass
primary,NO_FEEDBACK,80,0.5,17.402923778185315,5.107682229737182,29.698165326633433,12.295241548448132,12.295241548448118,1
primary,MATCHED_UNIFORM,80,0.5,17.399992138717327,4.943914566655853,29.856069710778797,12.456077572061474,12.45607757206147,1
beta_025_exact,NO_FEEDBACK,80,0.25,16.807694241103164,4.29822471136275,29.31716377084357,12.509469529740414,12.509469529740407,1
beta_025_exact,MATCHED_UNIFORM,80,0.25,16.80695495179089,4.207734647895234,29.40617525568654,12.599220303895656,12.599220303895653,1
beta_100_exact,NO_FEEDBACK,80,1.0,-38.03754564448912,-45.59366449574027,-30.48142679323798,7.556118851251149,7.556118851251142,1
beta_100_exact,MATCHED_UNIFORM,80,1.0,-6.7144186491052595,-14.770194710279949,1.3413574120694283,8.05577606117469,8.055776061174688,1
beta_050_scale_090,NO_FEEDBACK,80,0.5,16.350223409939513,4.018657157660016,28.681789662218996,12.331566252279497,12.331566252279483,1
beta_050_scale_090,MATCHED_UNIFORM,80,0.5,16.349013423502935,3.681988060822444,29.016038786183426,12.66702536268049,12.66702536268049,1
beta_050_scale_110,NO_FEEDBACK,80,0.5,17.619141432350396,5.803540581557949,29.434742283142835,11.815600850792446,11.815600850792439,1
beta_050_scale_110,MATCHED_UNIFORM,80,0.5,17.616947573762275,5.6712918102521845,29.562603337272353,11.94565576351009,11.945655763510079,1
beta_050_lag_one,NO_FEEDBACK,80,0.5,18.04232622309992,6.716375751155636,29.3682766950442,11.325950471944285,11.325950471944282,1
beta_050_lag_one,MATCHED_UNIFORM,80,0.5,18.04010285468652,6.748330516066591,29.33187519330644,11.291772338619928,11.291772338619921,1
beta_050_dropout_010,NO_FEEDBACK,80,0.5,17.093196257875775,4.715585301472481,29.47080721427905,12.377610956403295,12.377610956403274,1
beta_050_dropout_010,MATCHED_UNIFORM,80,0.5,17.091233373301154,4.588502154836932,29.593964591765374,12.502731218464223,12.50273121846422,1
complete_cohort,NO_FEEDBACK,361,0.5,30.35223865506479,21.433867491291497,39.27060981883808,8.918371163773294,8.91837116377329,1
complete_cohort,MATCHED_UNIFORM,361,0.5,30.355143624474938,21.678511218828582,39.03177603012129,8.676632405646355,8.676632405646355,1
