section,ECF_minus_no_feedback_kWh,ECF_minus_equal_total_kWh,qualifying_intervals,all_physical_checks_pass
LV10,371.53678389122285,454.4876330989214,374,1
LV11,511.6883106651595,545.1815373714869,360,1
LV12,1304.486835273016,1311.5963461839576,595,1
LV15,198.2154372383682,200.29897209415887,237,1
LV17,106.95647757215487,287.13081292834136,308,1
LV22,204.98527866298755,206.0721268297171,348,1
LV24,947.0428998739486,985.4782782017656,329,1
LV25,718.0108218106052,783.6667144067278,505,1
LV26,-3.748534149204341,71.20989827448626,101,1
LV29,54.307531818874935,83.65385247662712,73,1
LV30,1213.4772339857104,1261.364144643747,371,1
LV32,95.452069184962,99.2645717774992,273,1
LV9,844.6887641469165,873.7637105236478,580,1
