Setting,Comparator,Total difference (MWh),Mean daily difference (MWh),95% lower (MWh/day),95% upper (MWh/day),Negative error (MWh/day),Positive error (MWh/day),Positive days,Negative days,Zero days
EXACT,NO_FEEDBACK,1.3922339022548216,0.01740292377818527,0.004878288848181601,0.02992755870818894,0.01252463493000367,0.012524634930003671,44,32,4
EXACT,ORIGINAL_EXACT_ECF,-9.992007221626409e-16,-1.2490009027033011e-17,-5.2049027376588146e-17,2.70690093225221e-17,3.9559018349555136e-17,3.955901834955511e-17,0,0,80
R01_NEG_POINT,NO_FEEDBACK,1.4139735178390476,0.017674668972988094,0.006012885350479303,0.029336452595496887,0.011661783622508791,0.011661783622508793,44,31,5
R01_NEG_POINT,ORIGINAL_EXACT_ECF,0.02173961558422499,0.0002717451948028124,-0.0030695214733241424,0.0036130118629297664,0.0033412666681269547,0.0033412666681269542,5,10,65
R01_NEG_LOWER_BOUND,NO_FEEDBACK,1.4593094380500877,0.018241367975626095,0.007049592038176154,0.029433143913076037,0.011191775937449942,0.011191775937449942,45,30,5
R01_NEG_LOWER_BOUND,ORIGINAL_EXACT_ECF,0.06707553579526515,0.0008384441974408144,-0.0025919735220676136,0.004268861916949238,0.003430417719508428,0.003430417719508424,9,16,55
R01_NEG_LOWER_BOUND,POINT_SAME_ERROR,0.04533592021104016,0.000566699002638002,-0.000719755016863724,0.0018531530221397273,0.001286454019501726,0.0012864540195017253,5,10,65
R01_POS_POINT,NO_FEEDBACK,1.4593074118619818,0.01824134264827477,0.006304422447294478,0.030178262849255063,0.011936920200980293,0.011936920200980292,46,30,4
R01_POS_POINT,ORIGINAL_EXACT_ECF,0.06707350960715919,0.0008384188700894899,-0.0005611403848773921,0.002237978125056372,0.0013995592549668821,0.001399559254966882,6,4,70
R01_POS_LOWER_BOUND,NO_FEEDBACK,1.3922339022548216,0.01740292377818527,0.004878288848181601,0.02992755870818894,0.01252463493000367,0.012524634930003671,44,32,4
R01_POS_LOWER_BOUND,ORIGINAL_EXACT_ECF,-9.992007221626409e-16,-1.2490009027033011e-17,-5.2049027376588146e-17,2.70690093225221e-17,3.9559018349555136e-17,3.955901834955511e-17,0,0,80
R01_POS_LOWER_BOUND,POINT_SAME_ERROR,-0.06707350960716019,-0.0008384188700895024,-0.002237978125056394,0.0005611403848773887,0.0013995592549668917,0.001399559254966891,4,6,70
R05_NEG_POINT,NO_FEEDBACK,1.3919096103487554,0.017398870129359444,0.0061749590018139715,0.028622781256904914,0.011223911127545472,0.01122391112754547,42,29,9
R05_NEG_POINT,ORIGINAL_EXACT_ECF,-0.0003242919060671978,-0.000004053648825839973,-0.004852357087940234,0.004844249790288551,0.004848303439114394,0.004848303439114391,20,23,37
R05_NEG_LOWER_BOUND,NO_FEEDBACK,1.2148103357426694,0.015185129196783368,0.004654077830420185,0.02571618056314655,0.010531051366363182,0.01053105136636318,39,24,17
R05_NEG_LOWER_BOUND,ORIGINAL_EXACT_ECF,-0.17742356651215319,-0.002217794581401915,-0.007337724153431449,0.002902134990627617,0.0051199295720295345,0.005119929572029532,28,30,22
R05_NEG_LOWER_BOUND,POINT_SAME_ERROR,-0.177099274606086,-0.002213740932576075,-0.0050958888140096355,0.0006684069488574835,0.0028821478814335605,0.002882147881433559,22,18,40
