Setting,Radius fraction of C,Bias sign,Controller,Delivery (MWh),Authorization (MWh),Unused authorization (MWh)
EXACT,0,0,Exact record,239.35556526309938,329.6961711518744,90.34060588877506
R01_NEG_POINT,0.01,-1,Point record,239.3773048786836,329.3908803662271,90.01357548754352
R01_NEG_LOWER_BOUND,0.01,-1,Delivery lower bound,239.42264079889463,329.4851361046483,90.06249530575363
R01_POS_POINT,0.01,1,Point record,239.42263877270653,329.80457601650374,90.3819372437972
R01_POS_LOWER_BOUND,0.01,1,Delivery lower bound,239.35556526309938,329.6961711518744,90.34060588877506
R05_NEG_POINT,0.05,-1,Point record,239.3552409711933,329.77919937536467,90.42395840417137
R05_NEG_LOWER_BOUND,0.05,-1,Delivery lower bound,239.17814169658723,329.72780240211654,90.54966070552932
R05_POS_POINT,0.05,1,Point record,239.53187732237686,329.93052568771526,90.39864836533837
R05_POS_LOWER_BOUND,0.05,1,Delivery lower bound,239.35556526309938,329.6961711518744,90.34060588877506
R10_NEG_POINT,0.1,-1,Point record,239.17814169658723,329.72780240211654,90.54966070552932
R10_NEG_LOWER_BOUND,0.1,-1,Delivery lower bound,238.90901719518268,329.3568821711636,90.44786497598088
R10_POS_POINT,0.1,1,Point record,239.54517376055517,330.01974180755394,90.47456804699878
R10_POS_LOWER_BOUND,0.1,1,Delivery lower bound,239.35556526309938,329.6961711518744,90.34060588877506
