Setting,Intervals,Tightenings,Recovery test failed,Feasible opportunities,Missed opportunities,Record AC failed,Reference AC failed,Observed or authorization failed,Tightening share,Test failure / tightenings,Misses / feasible opportunities
EXACT,3840,483,0,483,0,0,0,0,0.12578125,0,0
R01_NEG_POINT,3840,459,0,486,27,0,0,0,0.11953125,0,0.05555555555555555
R01_NEG_LOWER_BOUND,3840,436,0,485,49,0,0,0,0.11354166666666667,0,0.10103092783505155
R01_POS_POINT,3840,491,11,480,0,0,0,0,0.12786458333333334,0.02240325865580448,0
R01_POS_LOWER_BOUND,3840,483,0,483,0,0,0,0,0.12578125,0,0
R05_NEG_POINT,3840,362,0,485,123,0,0,0,0.09427083333333333,0,0.2536082474226804
R05_NEG_LOWER_BOUND,3840,291,0,494,203,0,0,0,0.07578125,0,0.4109311740890688
R05_POS_POINT,3840,507,28,479,0,0,0,0,0.13203125,0.055226824457593686,0
R05_POS_LOWER_BOUND,3840,483,0,483,0,0,0,0,0.12578125,0,0
R10_NEG_POINT,3840,291,0,494,203,0,0,0,0.07578125,0,0.4109311740890688
R10_NEG_LOWER_BOUND,3840,238,0,496,258,0,0,0,0.06197916666666667,0,0.5201612903225806
R10_POS_POINT,3840,512,33,479,0,0,0,0,0.13333333333333333,0.064453125,0
R10_POS_LOWER_BOUND,3840,483,0,483,0,0,0,0,0.12578125,0,0
