reporter_id,q_mode,method_id,forecast_cv,penalty_to_export_value_ratio,gamma,expected_private_utility_gain_kw_equivalent,selected_gamma,within_consequence_payoff_score
p021,Q0,weighted_proportional,0.2,0,1,0,1.7,0
p021,Q0,weighted_proportional,0.2,0,1.1,4.07241610468,1.7,0.32642417204
p021,Q0,weighted_proportional,0.2,0,1.2,7.69397553905,1.7,0.616709965405
p021,Q0,weighted_proportional,0.2,0,1.3,9.5034460411,1.7,0.761747922058
p021,Q0,weighted_proportional,0.2,0,1.4,11.2900728515,1.7,0.904954844518
p021,Q0,weighted_proportional,0.2,0,1.5,12.1092491587,1.7,0.970615852867
p021,Q0,weighted_proportional,0.2,0,1.6,12.4567221308,1.7,0.998467519862
p021,Q0,weighted_proportional,0.2,0,1.7,12.4758411095,1.7,1
p021,Q0,weighted_proportional,0.2,0,1.8,12.4758411095,1.7,1
p021,Q0,weighted_proportional,0.2,0,1.9,12.4758411095,1.7,1
p021,Q0,weighted_proportional,0.2,0,2,12.4758411095,1.7,1
p021,Q0,weighted_proportional,0.2,1,1,0,1.2,0.7319396599
p021,Q0,weighted_proportional,0.2,1,1.1,2.22131787528,1.2,0.897100298004
p021,Q0,weighted_proportional,0.2,1,1.2,3.60526110794,1.2,1
p021,Q0,weighted_proportional,0.2,1,1.3,1.43389650548,1.2,0.83855351488
p021,Q0,weighted_proportional,0.2,1,1.4,-0.710055666993,1.2,0.679145213704
p021,Q0,weighted_proportional,0.2,1,1.5,-4.71189026586,1.2,0.381598625128
p021,Q0,weighted_proportional,0.2,1,1.6,-9.57651187482,1.2,0.0199016262375
p021,Q0,weighted_proportional,0.2,1,1.7,-9.84417757663,1.2,0
p021,Q0,weighted_proportional,0.2,1,1.8,-9.84417757663,1.2,0
p021,Q0,weighted_proportional,0.2,1,1.9,-9.84417757663,1.2,0
p021,Q0,weighted_proportional,0.2,1,2,-9.84417757663,1.2,0
p021,Q0,weighted_proportional,0.2,10,1,0,1,1
p021,Q0,weighted_proportional,0.2,10,1.1,-14.4385661893,1,0.931481262225
p021,Q0,weighted_proportional,0.2,10,1.2,-33.193168772,1,0.84248061773
p021,Q0,weighted_proportional,0.2,10,1.3,-71.1920493151,1,0.662155556535
p021,Q0,weighted_proportional,0.2,10,1.4,-108.711212333,1,0.484107012194
p021,Q0,weighted_proportional,0.2,10,1.5,-156.102145087,1,0.25921162773
p021,Q0,weighted_proportional,0.2,10,1.6,-207.875617926,1,0.0135187408754
p021,Q0,weighted_proportional,0.2,10,1.7,-210.724345752,1,0
p021,Q0,weighted_proportional,0.2,10,1.8,-210.724345752,1,0
p021,Q0,weighted_proportional,0.2,10,1.9,-210.724345752,1,0
p021,Q0,weighted_proportional,0.2,10,2,-210.724345752,1,0
