scope,value,step_count,lower_quartile_ratio,median_ratio,upper_quartile_ratio,fifth_percentile_ratio,ninety_fifth_percentile_ratio,mean_idle_award_increment_kw,mean_outside_delivery_decrement_kw
overall,all,4608,1.10244847679,2.28710527887,5.718038789,0.531682768375,45.0263052657,2.32711531926,5.44278947916
method_id,equal_kw_reduction,940,0.879052104869,1.72130727645,4.70174350846,0.399341474868,31.2255235599,2.72320871954,3.65247336058
method_id,fairness_qp,1550,1.29601521733,1.99750126822,5.57187392967,0.676106979101,30.1323400424,1.72867826515,2.50439268685
method_id,flat_level,338,4.75056887233,5.36823427278,13.0282293204,4.34274310679,33.7626369083,1.86040920564,11.9284023348
method_id,max_export_lp,486,0.755868392597,0.918354717221,3.43915246945,0.403571206365,17.0486043013,3.18740964955,2.1498851392
method_id,weighted_proportional,1294,1.32138418107,2.49431398774,7.58701626237,0.531682768279,286.920485544,2.55500810095,9.80571571067
q_mode,Q0,2317,1.10409271477,2.2899920969,5.71803878902,0.531682768326,45.0260729233,2.31405841375,5.41225161103
q_mode,Q95,2291,1.10244847675,2.27670287177,5.71803878722,0.53168276838,45.4219688965,2.34032040441,5.47367391411
forecast_cv,0.0,126,1.97382542662,4.55137992777,10.2701465789,1.37204421298,31.2389576716,1.29622997861,4.49750534118
forecast_cv,0.05,629,1.4445449425,2.59408318836,8.52806060741,0.532947043403,68.8912578112,2.58056658408,4.76879819227
forecast_cv,0.1,999,1.33766245985,2.37482492581,7.04405820639,0.54478723459,32.7705686312,2.66300835406,4.48602284735
forecast_cv,0.2,1444,0.982842820273,1.99757774624,4.85807349519,0.484155798353,47.9081678543,2.40333440997,6.18265896773
forecast_cv,0.3,1410,1.01141151968,2.06592296162,5.08443577649,0.57467823588,37.2946223138,1.99013177218,5.74809773769
