interval,control_id,changed_participant_count,changed_raw_request_kw,changed_effective_request_kw,changed_allocation_kw,changed_capability_kw,changed_delivery_kw,feeder_delivery_kw,feeder_delivery_change_kw,idle_authorization_kw,request_attenuation_kw,mean_changed_ceiling_before_ratio,mean_changed_ceiling_after_ratio,replay_gate_triggered,replay_outsider_access_release_kw,replay_outsider_delivery_recovery_kw,replay_feeder_delivery_recovery_kw
1,NO_FEEDBACK,5,479.299275,375.921,301.352433808,309.89385,290.931559645,1462.71233247,1.55869290954,30.5276119815,0,0.78431372549,0.78431372549,False,0,0,0
2,NO_FEEDBACK,5,479.299275,375.921,301.352433808,296.39925,277.436959645,1434.81842802,-10.2473174434,58.421516423,0,0.78431372549,0.78431372549,False,0,0,0
3,NO_FEEDBACK,5,479.299275,375.921,301.352433808,301.21875,279.096077919,1450.97551,-9.80211553171,42.2644344432,0,0.78431372549,0.78431372549,False,0,0,0
4,NO_FEEDBACK,5,479.299275,375.921,301.352433808,279.531,257.408327919,1448.70782934,-19.5213943344,44.5321151029,0,0.78431372549,0.78431372549,False,0,0,0
5,NO_FEEDBACK,5,479.299275,375.921,301.352433808,314.2314,272.198651574,1446.61017115,-18.5826124983,46.6297733008,0,0.78431372549,0.78431372549,False,0,0,0
6,NO_FEEDBACK,5,479.299275,375.921,301.352433808,258.80715,255.014691929,1444.46532076,-31.5721130497,48.7746236819,0,0.78431372549,0.78431372549,False,0,0,0
7,NO_FEEDBACK,5,479.299275,375.921,301.352433808,283.7079,276.702441929,1431.5676083,-9.5843310831,61.6723361444,0,0.78431372549,0.78431372549,False,0,0,0
8,NO_FEEDBACK,5,479.299275,375.921,301.352433808,275.6754,275.043323655,1458.72683076,-8.20865845113,34.5131136827,0,0.78431372549,0.78431372549,False,0,0,0
9,NO_FEEDBACK,5,479.299275,375.921,301.352433808,254.63025,253.355573655,1399.22598401,-17.4582665148,94.0139604344,0,0.78431372549,0.78431372549,False,0,0,0
10,NO_FEEDBACK,5,479.299275,375.921,301.352433808,267.48225,258.001104823,1419.95345186,-18.2753589782,73.2864925912,0,0.78431372549,0.78431372549,False,0,0,0
11,NO_FEEDBACK,5,479.299275,375.921,301.352433808,233.74575,224.264604823,1386.27614741,-23.6623534537,106.963797033,0,0.78431372549,0.78431372549,False,0,0,0
12,NO_FEEDBACK,5,479.299275,375.921,301.352433808,269.892,255.670282234,1432.36921432,-28.2143909448,60.8707301287,0,0.78431372549,0.78431372549,False,0,0,0
13,NO_FEEDBACK,5,479.299275,375.921,301.352433808,264.1086,249.886882234,1441.22190099,-34.3902385622,52.0180434533,0,0.78431372549,0.78431372549,False,0,0,0
14,NO_FEEDBACK,5,479.299275,375.921,301.352433808,307.4841,283.623382234,1458.14934655,-14.8143935146,35.0905978948,0,0.78431372549,0.78431372549,False,0,0,0
15,NO_FEEDBACK,5,479.299275,375.921,301.352433808,282.4227,277.682127411,1461.80762802,-18.5778319747,31.432316423,0,0.78431372549,0.78431372549,False,0,0,0
