dimension,externality_share_reduction_percentage_points,gate_interval_share,pair_count,primary_advantage_over_delivery_only_kw,primary_advantage_over_uniform_kw,primary_delivery_improvement_vs_no_feedback_kw,value
method_id,41.6666666667,1,18,2.96144999368,22.176717885,16.4998929984,equal_kw_reduction
method_id,34.7222222222,0.993055555556,18,0.462867187238,14.1505321714,8.87651038302,fairness_qp
method_id,-1.38888888889,1,18,39.2255486442,50.8328565676,67.5396799528,flat_level
method_id,31.9444444444,1,18,3.66538145352,27.3330849562,22.0203423805,max_export_lp
method_id,38.1944444444,0.958333333333,18,2.32172332612,9.68660752272,9.6866075235,weighted_proportional
profile_id,38.3333333333,0.983333333333,30,19.0650600172,34.4208354433,35.267851745,CLUSTERED_SHORTFALL
profile_id,13.75,0.995833333333,30,-0.0524397852038,12.6416597417,12.2053070565,INTERMITTENT_SHORTFALL
profile_id,35,0.991666666667,30,10.1695621308,27.4453842766,27.3006611414,SHOCK_AND_RECOVERY
scenario_id,21.25,1,30,7.04816110754,12.4705988978,11.181988057,DF_SINGLE_P021
scenario_id,32.0833333333,0.9875,30,9.54086501462,27.4525405289,28.6067740945,MR_K05_DISPERSED
scenario_id,33.75,0.983333333333,30,12.5931562407,34.584740035,34.9850577913,MR_K05_LOCAL
q_mode,29.0277777778,0.990277777778,45,9.727394363,24.8349882715,24.924607216,Q0
q_mode,29.0277777778,0.990277777778,45,9.7273938789,24.8369313696,24.9246060792,Q95
