trajectory_id,scenario_id,profile_id,q_mode,method_id,control_id,delivery_change_kw,jain_change_percentage_points,minimum_voltage_margin_mpu,maximum_loading_ratio,maximum_mva_excess,matched_q_pair_pass_rate
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::NO_FEEDBACK::Q0::weighted_proportional,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q0,weighted_proportional,NO_FEEDBACK,-2.53476807477,-0.348977135981,7.33658316846,0.909090897131,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::DELIVERY_RATIO_CF_BETA_050::Q0::weighted_proportional,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q0,weighted_proportional,DELIVERY_RATIO_CF_BETA_050,0.843436811351,-0.196463832706,7.24527067506,0.90909091028,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_025::Q0::weighted_proportional,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q0,weighted_proportional,EXTERNALITY_CF_BETA_025,1.95210477318,-0.189281796879,7.18120900011,0.909090915075,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::weighted_proportional,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q0,weighted_proportional,EXTERNALITY_CF_BETA_050,5.85523722226,-0.312895121267,7.15096592923,0.909090913831,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_100::Q0::weighted_proportional,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q0,weighted_proportional,EXTERNALITY_CF_BETA_100,-14.5469176838,-1.54792876744,6.89256102127,0.909090913433,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050::Q0::weighted_proportional,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q0,weighted_proportional,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,-2.53476807495,-0.348977135981,7.33658315223,0.909090912202,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::NO_FEEDBACK::Q0::equal_kw_reduction,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q0,equal_kw_reduction,NO_FEEDBACK,-4.51939976283,-1.1957496442,7.90965529199,0.90909089915,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::DELIVERY_RATIO_CF_BETA_050::Q0::equal_kw_reduction,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q0,equal_kw_reduction,DELIVERY_RATIO_CF_BETA_050,0.911678778198,-0.585286856899,7.75691488446,0.909090911463,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_025::Q0::equal_kw_reduction,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q0,equal_kw_reduction,EXTERNALITY_CF_BETA_025,-0.326815623482,-0.228706444475,7.67379653312,0.909090916385,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::equal_kw_reduction,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q0,equal_kw_reduction,EXTERNALITY_CF_BETA_050,10.3644517472,0.45488342705,7.45861901971,0.909090920227,0,1
