Behavior,Control,Seed,Date,Contiguous block,Positive-request participant intervals,Multiplier 0.50 count,Multiplier 0.75 count,Multiplier 1.00 count,Multiplier 1.25 count,Multiplier 1.50 count,Mean expected multiplier,Capacity-capped request (MWh),Admitted request (MWh),Binding-ceiling participant intervals,Mean end ceiling / capacity,Mean absolute log-weight change
Own-delivery adaptation,No feedback,2001,2013-01-02,1,10693,2103,2115,2158,2120,2197,1.001484844101699,28.137586053651148,28.137586053651148,0,1,0.02661020505140886
Own-delivery adaptation,ECF,2001,2013-01-02,1,10693,2103,2118,2156,2119,2197,1.0014062616107333,28.135803720301425,27.645463994214197,1945,0.9993024678826673,0.026175346021183436
Own-delivery adaptation,Same update without qualification,2001,2013-01-02,1,10693,2105,2115,2157,2119,2197,1.0013002351067959,28.136568328669703,26.68419527587475,2916,0.9973324596588072,0.025613570942686802
Own-delivery adaptation,No feedback,2001,2013-01-03,1,10532,2062,2056,2147,2146,2121,1.0044386986051146,22.854918543381324,22.854918543381324,0,1,0.022672448686375322
Own-delivery adaptation,ECF,2001,2013-01-03,1,10532,2062,2057,2149,2143,2121,1.0042987022496213,22.852941058359207,22.620594215589612,769,0.9999990531184061,0.022523555500169923
Own-delivery adaptation,Same update without qualification,2001,2013-01-03,1,10532,2063,2057,2150,2142,2120,1.0041175390471297,22.84964662116198,22.17249018237729,1310,0.9980453331735409,0.022446414654208116
Own-delivery adaptation,No feedback,2001,2013-01-04,1,10677,2063,2044,2193,2123,2254,1.0082652740710558,27.42387213952274,27.42387213952274,0,1,0.024263852473078985
Own-delivery adaptation,ECF,2001,2013-01-04,1,10677,2063,2046,2193,2122,2253,1.0081006753104838,27.41993091302064,27.31861755408311,829,0.9999980099970818,0.024194720250390184
Own-delivery adaptation,Same update without qualification,2001,2013-01-04,1,10677,2066,2044,2197,2122,2248,1.0078151023486848,27.412924592687865,26.791303157575697,1740,0.9964191865295765,0.023646453502888087
Own-delivery adaptation,No feedback,2001,2013-01-05,1,10664,2004,2121,2153,2086,2300,1.0118249314070684,29.467376606506097,29.467376606506097,0,1,0.025554898795313478
Own-delivery adaptation,ECF,2001,2013-01-05,1,10664,2006,2123,2154,2082,2299,1.0116341995378788,29.463261669062067,29.39743146225902,882,0.9999991985688889,0.02546598238235432
Own-delivery adaptation,Same update without qualification,2001,2013-01-05,1,10664,2007,2124,2158,2077,2298,1.0111672529605804,29.458161936547732,28.771916208098354,2423,0.9979692340667657,0.024634281429828903
Own-delivery adaptation,No feedback,2001,2013-01-06,1,10625,1958,1990,2089,2223,2365,1.0151534412034084,29.40927583351405,29.40927583351405,0,1,0.02256629661202178
Own-delivery adaptation,ECF,2001,2013-01-06,1,10625,1961,1992,2084,2224,2364,1.0148802942309432,29.402432764796025,29.16239085645907,1581,0.9999852309551723,0.02215766707774979
Own-delivery adaptation,Same update without qualification,2001,2013-01-06,1,10625,1965,1994,2087,2221,2358,1.0142673461587062,29.388871409293458,28.739524239470093,2434,0.9991804695929061,0.021733524708900876
Own-delivery adaptation,No feedback,2001,2013-01-07,1,10604,1879,2062,2193,2151,2319,1.0184644531823166,29.430368773165885,29.430368773165885,0,1,0.02140693566457573
Own-delivery adaptation,ECF,2001,2013-01-07,1,10604,1882,2063,2195,2145,2319,1.018098539656345,29.421341035660753,28.9373980558711,1840,0.9999855446881322,0.02122799700093007
Own-delivery adaptation,Same update without qualification,2001,2013-01-07,1,10604,1890,2060,2204,2136,2314,1.0173898640527441,29.414099516999016,28.254284262018803,2632,0.9982901119434517,0.02076060324083798
Own-delivery adaptation,No feedback,2001,2013-01-08,1,10640,1882,2041,2255,2214,2248,1.021540371715953,27.834303171728305,27.834303171728305,0,1,0.019714453092721303
Own-delivery adaptation,ECF,2001,2013-01-08,1,10640,1886,2045,2250,2214,2245,1.0211498798672212,27.824314799710343,27.769185435473883,677,0.9996881184092896,0.0196865117433546
Own-delivery adaptation,Same update without qualification,2001,2013-01-08,1,10640,1890,2049,2249,2213,2239,1.0203164164704834,27.809284901409136,27.06797204654363,1994,0.997946632262553,0.01900524153854983
Own-delivery adaptation,No feedback,2001,2013-01-12,2,10600,2126,2162,2129,2072,2111,1.0013575248933293,28.106427800112137,28.106427800112137,0,1,0.02538717194334335
Own-delivery adaptation,ECF,2001,2013-01-12,2,10600,2127,2161,2129,2072,2111,1.0012881374233642,28.10642772511268,27.35234934651004,1916,0.9997052446900231,0.02502895136119816
Own-delivery adaptation,Same update without qualification,2001,2013-01-12,2,10600,2127,2161,2128,2076,2108,1.001163423986635,28.10727520140602,25.581540281210625,3301,0.9989638125852865,0.023950161639486905
Own-delivery adaptation,No feedback,2001,2013-01-13,2,10792,2018,2217,2181,2238,2138,1.0039065492478583,21.422204431639372,21.422204431639372,0,1,0.016985799956251515
Own-delivery adaptation,ECF,2001,2013-01-13,2,10792,2019,2217,2181,2238,2137,1.0037652839128663,21.42047492350912,20.873250740028748,1060,0.9997795174303583,0.016632052390929256
Own-delivery adaptation,Same update without qualification,2001,2013-01-13,2,10792,2023,2222,2180,2231,2136,1.0034073847399148,21.410741176688383,18.49939208539117,3542,0.9968832639138211,0.015571386036564341
Own-delivery adaptation,No feedback,2001,2013-01-14,2,10449,2040,2080,2151,2114,2064,1.0062395178951786,17.88206994016987,17.88206994016987,0,1,0.022309710543072063
Own-delivery adaptation,ECF,2001,2013-01-14,2,10449,2041,2080,2152,2114,2062,1.00606016020282,17.880382419094225,17.683666752818915,636,0.9999998176792076,0.022226778163174626
Own-delivery adaptation,Same update without qualification,2001,2013-01-14,2,10449,2046,2090,2142,2116,2055,1.005506420999259,17.87037922728673,16.532902501199864,1660,0.999043649266276,0.021636833553021224
Own-delivery adaptation,No feedback,2001,2013-01-15,2,10741,2125,2023,2143,2243,2207,1.0096013815272027,26.382002191692326,26.382002191692326,0,1,0.02169492589363299
Own-delivery adaptation,ECF,2001,2013-01-15,2,10741,2128,2022,2145,2242,2204,1.009411890176338,26.37727128269637,26.164272499869718,1141,0.9994462046081334,0.021743226390996042
Own-delivery adaptation,Same update without qualification,2001,2013-01-15,2,10741,2132,2025,2140,2244,2200,1.0087564002557128,26.369525376731012,25.6966031394351,1920,0.9977877024710244,0.02175573110847624
Own-delivery adaptation,No feedback,2001,2013-01-16,2,10684,2079,2092,2207,2134,2172,1.012811505256864,27.29604273058274,27.29604273058274,0,1,0.024225699531219003
Own-delivery adaptation,ECF,2001,2013-01-16,2,10684,2080,2093,2213,2134,2164,1.0125386233950122,27.291056914331975,27.113641769699854,1313,0.9998871392710602,0.02400296849477699
Own-delivery adaptation,Same update without qualification,2001,2013-01-16,2,10684,2090,2097,2207,2134,2156,1.011786145057806,27.264125425471384,26.596117935542395,2006,0.9976011791716068,0.023280553552131697
