Behavior,Comparator,Seed,Contiguous block,Dates in block,Delivery difference (MWh)
Own-delivery adaptation,No feedback,2001,1,7,-0.0035662500706905575
Own-delivery adaptation,No feedback,2001,2,14,0.11082089276829876
Own-delivery adaptation,No feedback,2001,3,3,0.09957738482707401
Own-delivery adaptation,No feedback,2001,4,2,0.01685800263492565
Own-delivery adaptation,No feedback,2001,5,2,-0.04748948537395625
Own-delivery adaptation,No feedback,2001,6,1,-0.04294183642706528
Own-delivery adaptation,No feedback,2001,7,4,-0.01829984445629451
Own-delivery adaptation,No feedback,2001,8,7,0.16113770188136378
Own-delivery adaptation,No feedback,2001,9,35,0.7721418601405076
Own-delivery adaptation,No feedback,2001,10,5,0.008603175424557241
Own-delivery adaptation,No feedback,2002,1,7,0.05461892311337824
Own-delivery adaptation,No feedback,2002,2,14,0.28297368934639655
Own-delivery adaptation,No feedback,2002,3,3,0.08353463828673391
Own-delivery adaptation,No feedback,2002,4,2,0.14919969573289382
Own-delivery adaptation,No feedback,2002,5,2,0.006294982119853909
Own-delivery adaptation,No feedback,2002,6,1,0.03877239362840701
Own-delivery adaptation,No feedback,2002,7,4,-0.020404658122023633
Own-delivery adaptation,No feedback,2002,8,7,0.15222842321160845
Own-delivery adaptation,No feedback,2002,9,35,0.760837730431503
Own-delivery adaptation,No feedback,2002,10,5,0.22454075781554406
Own-delivery adaptation,No feedback,2003,1,7,0.054002932862623254
Own-delivery adaptation,No feedback,2003,2,14,0.10374130639480406
Own-delivery adaptation,No feedback,2003,3,3,0.0114843311870243
Own-delivery adaptation,No feedback,2003,4,2,0.11378874271413775
Own-delivery adaptation,No feedback,2003,5,2,-0.013492398423033958
Own-delivery adaptation,No feedback,2003,6,1,0.004243883190169662
Own-delivery adaptation,No feedback,2003,7,4,0.043879487383544635
Own-delivery adaptation,No feedback,2003,8,7,0.3329429563512951
Own-delivery adaptation,No feedback,2003,9,35,0.8757293446643183
Own-delivery adaptation,No feedback,2003,10,5,0.017137471621557543
Own-delivery adaptation,No feedback,Mean of 3 seeds,1,7,0.035018535301770314
Own-delivery adaptation,No feedback,Mean of 3 seeds,2,14,0.1658452961698331
Own-delivery adaptation,No feedback,Mean of 3 seeds,3,3,0.06486545143361075
Own-delivery adaptation,No feedback,Mean of 3 seeds,4,2,0.09328214702731907
Own-delivery adaptation,No feedback,Mean of 3 seeds,5,2,-0.0182289672257121
Own-delivery adaptation,No feedback,Mean of 3 seeds,6,1,0.000024813463837129273
Own-delivery adaptation,No feedback,Mean of 3 seeds,7,4,0.0017249949350754972
Own-delivery adaptation,No feedback,Mean of 3 seeds,8,7,0.21543636048142245
Own-delivery adaptation,No feedback,Mean of 3 seeds,9,35,0.8029029784121097
Own-delivery adaptation,No feedback,Mean of 3 seeds,10,5,0.08342713495388629
Own-delivery adaptation,Same update without qualification,2001,1,7,0.19429481885954925
Own-delivery adaptation,Same update without qualification,2001,2,14,0.8320734798194573
Own-delivery adaptation,Same update without qualification,2001,3,3,0.3336304101254519
Own-delivery adaptation,Same update without qualification,2001,4,2,0.013018640717988639
Own-delivery adaptation,Same update without qualification,2001,5,2,0.015852532152359267
Own-delivery adaptation,Same update without qualification,2001,6,1,0.02716834696802861
Own-delivery adaptation,Same update without qualification,2001,7,4,0.1027537952918065
Own-delivery adaptation,Same update without qualification,2001,8,7,0.25765748030288016
Own-delivery adaptation,Same update without qualification,2001,9,35,2.392000543604903
Own-delivery adaptation,Same update without qualification,2001,10,5,0.4304328280705416
Own-delivery adaptation,Same update without qualification,2002,1,7,0.04249102829324114
Own-delivery adaptation,Same update without qualification,2002,2,14,0.5433430688980128
Own-delivery adaptation,Same update without qualification,2002,3,3,0.423119545015318
Own-delivery adaptation,Same update without qualification,2002,4,2,0.01190466607164975
Own-delivery adaptation,Same update without qualification,2002,5,2,0.06875975454071659
Own-delivery adaptation,Same update without qualification,2002,6,1,0.11614346133188747
Own-delivery adaptation,Same update without qualification,2002,7,4,0.26405607647584217
Own-delivery adaptation,Same update without qualification,2002,8,7,0.3182928744961009
Own-delivery adaptation,Same update without qualification,2002,9,35,2.2390162788601695
Own-delivery adaptation,Same update without qualification,2002,10,5,0.4745273695787071
Own-delivery adaptation,Same update without qualification,2003,1,7,0.12982282614083074
Own-delivery adaptation,Same update without qualification,2003,2,14,0.5289251195093794
Own-delivery adaptation,Same update without qualification,2003,3,3,0.34635719593358116
Own-delivery adaptation,Same update without qualification,2003,4,2,-0.06674355386794995
Own-delivery adaptation,Same update without qualification,2003,5,2,0.02191426491618964
Own-delivery adaptation,Same update without qualification,2003,6,1,0.12522837293395295
Own-delivery adaptation,Same update without qualification,2003,7,4,0.40771322445028346
