Behavior,Comparator,Seed,Delivery difference (MWh),Mean difference (kWh/day),95% lower (kWh/day),95% upper (kWh/day),Negative error (kWh/day),Positive error (kWh/day),Positive dates,Negative dates,Unchanged dates,Authorization difference (MWh),Unused difference (MWh),Source exchange difference (MWh),Relative delivery difference (%)
Own-delivery adaptation,No feedback,2001,1.0568416013487205,13.210520016859007,5.614104737771585,20.806935295946424,7.596415279087422,7.596415279087417,43,37,0,0.9557332303352255,-0.10110837101349335,1.0495469588248723,0.46741953187873997
Own-delivery adaptation,No feedback,2002,1.7325965755642954,21.65745719455369,11.701867391834538,31.61304699727284,9.955589802719151,9.95558980271915,51,28,1,1.8423330559030662,0.10973648033876648,1.7166290854946833,0.7707924434099437
Own-delivery adaptation,No feedback,2003,1.5434580579464408,19.293225724330508,9.982912301170941,28.603539147490075,9.310313423159567,9.310313423159567,51,29,0,1.125253973587529,-0.4182040843589091,1.527834133999974,0.6827392772583464
Own-delivery adaptation,No feedback,Mean of 3 seeds,1.4442987449531521,18.053734311914404,10.516711238222046,25.590757385606757,7.5370230736923585,7.537023073692353,54,26,0,1.3077734199419402,-0.136525325011212,1.43133672610651,0.6400605932328391
Own-delivery adaptation,Same update without qualification,2001,4.598882875912967,57.48603594891208,46.59162893158718,68.380442966237,10.894407017324902,10.894407017324916,71,9,0,20.957895660534923,16.359012784621967,4.565028821781111,2.0663633876289977
Own-delivery adaptation,Same update without qualification,2002,4.501654123561646,56.270676544520576,43.09947699569491,69.44187609334624,13.171199548825669,13.171199548825662,67,13,0,20.652424564355613,16.15077044079397,4.4696575550759485,2.0276611382941137
Own-delivery adaptation,Same update without qualification,2003,4.488638528097661,56.10798160122076,43.560275497866606,68.6556877045749,12.547706103354152,12.547706103354145,71,9,0,21.37175236625307,16.883113838155413,4.455771681696595,2.011730406379799
Own-delivery adaptation,Same update without qualification,Mean of 3 seeds,4.529725175857424,56.621564698217796,45.98146733382841,67.26166206260717,10.640097364389383,10.640097364389376,73,7,0,20.994024197047867,16.46429902119045,4.496819352851218,2.0352379948871495
Own-delivery adaptation,Equal-total shadow,2001,1.1060630349497362,13.825787936871702,6.054245162340257,21.59733071140315,7.771542774531445,7.771542774531447,44,36,0,1.045841614160119,-0.06022142078961401,1.0984383466637644,0.4892956881282167
Own-delivery adaptation,Equal-total shadow,2002,1.8064339919170453,22.580424898963066,12.524222388632788,32.63662740929335,10.056202510330278,10.05620251033028,51,28,1,2.0026325470987607,0.19619855518171497,1.7899148401079816,0.8039050862892066
Own-delivery adaptation,Equal-total shadow,2003,1.5739587565762716,19.674484457203395,10.36460710501386,28.984361809392922,9.309877352189535,9.309877352189527,53,26,1,1.1892538974520566,-0.3847048591242126,1.5583595681668787,0.6963250224146641
Own-delivery adaptation,Equal-total shadow,Mean of 3 seeds,1.4954852611476843,18.693565764346054,11.01662333543995,26.370508193252153,7.676942428906104,7.676942428906099,55,25,0,1.4125760195703119,-0.08290924157737045,1.4822375849795415,0.6628949637622082
No preference update,No feedback,2001,1.089349425833098,13.616867822913724,5.10327375626412,22.13046188956333,8.513594066649603,8.513594066649604,48,32,0,1.087899294370826,-0.0014501314622650807,1.0823610348944075,0.4859538266434114
No preference update,No feedback,2002,1.6830477431224617,21.03809678903077,11.173519687855608,30.902673890205936,9.864577101175163,9.864577101175165,49,30,1,1.7137199860188481,0.03067224289638859,1.6681863296705413,0.7528504779710498
No preference update,No feedback,2003,1.4220420125135158,17.775525156418947,9.57581705802796,25.975233254809933,8.199708098390987,8.199708098390985,50,29,1,1.012670001371378,-0.40937201114214067,1.408839869842943,0.63381862290211
No preference update,No feedback,Mean of 3 seeds,1.3981463938230254,17.476829922787818,10.117381737906653,24.83627810766898,7.359448184881165,7.359448184881163,54,26,0,1.2714297605870175,-0.1267166332360058,1.3864624114692972,0.6240935465607969
No preference update,Same update without qualification,2001,4.260991870546549,53.262398381831865,42.24322772316529,64.28156904049844,11.019170658666575,11.019170658666575,69,11,0,20.20942947658221,15.948437606035657,4.230733155252002,1.9280887685029486
No preference update,Same update without qualification,2002,4.028309430113321,50.353867876416516,36.265016515107504,64.44271923772551,14.088851361309011,14.088851361308997,64,16,0,19.76188492959521,15.733575499481898,4.000300712693818,1.8210221492172964
No preference update,Same update without qualification,2003,3.9358275406674634,49.197844258343295,35.954785519450695,62.440902997235895,13.2430587388926,13.2430587388926,68,12,0,20.102930255742642,16.167102715075174,3.908457678232156,1.7741160089274517
No preference update,Same update without qualification,Mean of 3 seeds,4.075042947109112,50.9380368388639,40.271280560029346,61.60479311769845,10.666756278834555,10.666756278834548,74,6,0,20.02474822064002,15.949705273530908,4.046497182059326,1.8409832520070697
No preference update,Equal-total shadow,2001,1.0892559171111853,13.615698963889816,5.104213973225403,22.12718395455423,8.511484990664414,8.511484990664414,48,32,0,1.1184069228136995,0.029151005702511834,1.0822693178954377,0.48591191013526114
No preference update,Equal-total shadow,2002,1.6833380474378272,21.041725592972842,11.180399090178877,30.903052095766803,9.861326502793965,9.861326502793961,49,30,1,1.7305782491061081,0.047240201668282245,1.668475466163462,0.7529813128967848
No preference update,Equal-total shadow,2003,1.4219254479987868,17.774068099984838,9.57418660076745,25.973949599202225,8.199881499217389,8.199881499217387,50,29,1,1.015264315192744,-0.4066611328060482,1.4087249659857772,0.6337663396425859
No preference update,Equal-total shadow,Mean of 3 seeds,1.398173137515933,17.47716421894916,10.117939017411686,24.836389420486636,7.359225201537473,7.359225201537477,54,26,0,1.2880831623708504,-0.11008997514508478,1.3864899166815592,0.6241055587027157
