Behavior,Control,Seed,Date,Contiguous block,Authorization (MWh),Delivery (MWh),Unused authorization (MWh),Source exchange (MWh),Qualifying intervals,Failed observed intervals,Failed replay intervals
Own-delivery adaptation,No feedback,2001,2013-01-02,1,4.138213912849103,3.561573669923135,0.5766402429259687,-1.2757694147105678,0,0,0
Own-delivery adaptation,ECF,2001,2013-01-02,1,4.113010443486135,3.554200423485726,0.5588100200004095,-1.2830914987835644,9,0,0
Own-delivery adaptation,Same update without qualification,2001,2013-01-02,1,4.1816586385631345,3.567228257769618,0.6144303807935161,-1.270424046519091,0,0,0
Own-delivery adaptation,Equal-total shadow,2001,2013-01-02,1,4.135572712962121,3.5614053043554,0.5741674086067212,-1.2759358946724264,0,0,0
Own-delivery adaptation,No feedback,2001,2013-01-03,1,4.0503986252490165,3.7687840161143584,0.2816146091346578,-0.710192629022881,0,0,0
Own-delivery adaptation,ECF,2001,2013-01-03,1,4.022261820269125,3.7647941186260496,0.25746770164307536,-0.7138858734550005,10,0,0
Own-delivery adaptation,Same update without qualification,2001,2013-01-03,1,3.9460515730573857,3.7584487275877425,0.18760284546964304,-0.7202160383674061,0,0,0
Own-delivery adaptation,Equal-total shadow,2001,2013-01-03,1,4.049864653570117,3.7682527490866558,0.28161190448346074,-0.7107198788288199,0,0,0
Own-delivery adaptation,No feedback,2001,2013-01-04,1,4.268261185928904,4.0038260710347,0.2644351148942044,-1.0973934240415368,0,0,0
Own-delivery adaptation,ECF,2001,2013-01-04,1,4.256699349239103,3.9995172280923312,0.25718212114677197,-1.1016408386653933,11,0,0
Own-delivery adaptation,Same update without qualification,2001,2013-01-04,1,4.146969212426395,3.9511367304190435,0.19583248200735107,-1.1495442065265775,0,0,0
Own-delivery adaptation,Equal-total shadow,2001,2013-01-04,1,4.267851015235292,4.0034143407574785,0.2644366744778149,-1.0978067430710978,0,0,0
Own-delivery adaptation,No feedback,2001,2013-01-05,1,4.553819722905056,4.34550443291295,0.20831528999210594,-1.7831850452192433,0,0,0
Own-delivery adaptation,ECF,2001,2013-01-05,1,4.54577806905328,4.339848036805674,0.20593003224760548,-1.7887201140038895,6,0,0
Own-delivery adaptation,Same update without qualification,2001,2013-01-05,1,4.466788048173965,4.2970016779507265,0.16978637022323814,-1.8309166004782251,0,0,0
Own-delivery adaptation,Equal-total shadow,2001,2013-01-05,1,4.553012278803896,4.344908141202734,0.20810413760116173,-1.783779776115344,0,0,0
Own-delivery adaptation,No feedback,2001,2013-01-06,1,4.240064316520305,4.078364791461669,0.16169952505863597,-1.8905727158234749,0,0,0
Own-delivery adaptation,ECF,2001,2013-01-06,1,4.204241404387221,4.053689621387245,0.1505517829999765,-1.9149027518555537,12,0,0
Own-delivery adaptation,Same update without qualification,2001,2013-01-06,1,4.187258721569024,4.040583059020465,0.14667566254855866,-1.9278577174092495,0,0,0
Own-delivery adaptation,Equal-total shadow,2001,2013-01-06,1,4.236695716411101,4.075121971463871,0.16157374494722937,-1.8937896594763308,0,0,0
Own-delivery adaptation,No feedback,2001,2013-01-07,1,4.241704785764119,3.9097064512661817,0.3319983344979376,-1.5282241901679534,0,0,0
Own-delivery adaptation,ECF,2001,2013-01-07,1,4.255767859080039,3.9462277635482264,0.3095400955318123,-1.4921583334911381,10,0,0
Own-delivery adaptation,Same update without qualification,2001,2013-01-07,1,4.142353014447953,3.9125966738716453,0.22975634057630745,-1.5254236256298943,0,0,0
Own-delivery adaptation,Equal-total shadow,2001,2013-01-07,1,4.238946682041691,3.9075155163073485,0.3314311657343419,-1.5303971183057878,0,0,0
Own-delivery adaptation,No feedback,2001,2013-01-08,1,3.884759803641348,3.6099514070789636,0.27480839656238426,-6.486129379104656,0,0,0
Own-delivery adaptation,ECF,2001,2013-01-08,1,3.8961818593167172,3.615867397776015,0.2803144615407024,-6.480330669508782,7,0,0
Own-delivery adaptation,Same update without qualification,2001,2013-01-08,1,3.771738980237193,3.552854644242477,0.21888433599471543,-6.542460423861574,0,0,0
Own-delivery adaptation,Equal-total shadow,2001,2013-01-08,1,3.8866824355441874,3.6114373061878426,0.2752451293563446,-6.484665953234844,0,0,0
Own-delivery adaptation,No feedback,2001,2013-01-12,2,4.030960211057328,3.554453541235009,0.47650666982231954,-3.525409112131273,0,0,0
Own-delivery adaptation,ECF,2001,2013-01-12,2,4.014314140270224,3.552251870810837,0.46206226945938655,-3.527779065016638,10,0,0
Own-delivery adaptation,Same update without qualification,2001,2013-01-12,2,3.8383222437917635,3.4584818764201075,0.3798403673716559,-3.6213306199940845,0,0,0
Own-delivery adaptation,Equal-total shadow,2001,2013-01-12,2,4.030967751523368,3.554458840500064,0.4765089110233047,-3.525403844802586,0,0,0
Own-delivery adaptation,No feedback,2001,2013-01-13,2,4.04450426010011,2.6920864481564957,1.352417811943615,-2.581656587650134,0,0,0
Own-delivery adaptation,ECF,2001,2013-01-13,2,3.980230083324224,2.6754938686361065,1.3047362146881183,-2.598000871328266,6,0,0
Own-delivery adaptation,Same update without qualification,2001,2013-01-13,2,3.4615879443030177,2.5684792875350304,0.8931086567679871,-2.70421056828861,0,0,0
Own-delivery adaptation,Equal-total shadow,2001,2013-01-13,2,4.025585367951833,2.6900590188270406,1.3355263491247922,-2.5836656236570334,0,0,0
Own-delivery adaptation,No feedback,2001,2013-01-14,2,4.154655601810148,3.5767048677860958,0.5779507340240518,-0.9652023893707602,0,0,0
