Behavior,Control,Seed,Authorization (MWh),Delivery (MWh),Unused authorization (MWh),Source exchange (MWh)
Own-delivery adaptation,No feedback,2001,311.4098808734873,226.10129215201283,85.30858872147446,-272.76710745482706
Own-delivery adaptation,No feedback,2002,311.02283303537945,224.78120930965318,86.24162372572624,-274.06333083083865
Own-delivery adaptation,No feedback,2003,312.2165015015398,226.068443600382,86.14805790115778,-272.7963078219001
Own-delivery adaptation,No feedback,Mean of 3 seeds,311.5497384701355,225.65031502068268,85.89942344945283,-273.2089153691886
Own-delivery adaptation,ECF,2001,312.36561410382257,227.15813375336154,85.20748035046097,-271.7175604960022
Own-delivery adaptation,ECF,2002,312.8651660912825,226.51380588521747,86.351360206065,-272.346701745344
Own-delivery adaptation,ECF,2003,313.34175547512734,227.61190165832846,85.72985381679887,-271.2684736879001
Own-delivery adaptation,ECF,Mean of 3 seeds,312.8575118900775,227.0946137656358,85.76289812444162,-271.7775786430821
Own-delivery adaptation,Same update without qualification,2001,291.40771844328765,222.5592508774486,68.848467565839,-276.2825893177833
Own-delivery adaptation,Same update without qualification,2002,292.21274152692683,222.01215176165584,70.20058976527102,-276.81635930041995
Own-delivery adaptation,Same update without qualification,2003,291.97000310887427,223.12326313023078,68.84673997864346,-275.7242453695967
Own-delivery adaptation,Same update without qualification,Mean of 3 seeds,291.8634876930296,222.56488858977838,69.29859910325118,-276.2743979959333
Own-delivery adaptation,Equal-total shadow,2001,311.3197724896624,226.0520707184118,85.26770177125059,-272.815998842666
Own-delivery adaptation,Equal-total shadow,2002,310.8625335441837,224.70737189330043,86.15516165088329,-274.136616585452
Own-delivery adaptation,Equal-total shadow,2003,312.15250157767525,226.0379429017522,86.11455867592309,-272.826833256067
Own-delivery adaptation,Equal-total shadow,Mean of 3 seeds,311.44493587050715,225.59912850448814,85.84580736601899,-273.25981622806165
No preference update,No feedback,2001,308.30234586409813,224.16726983250055,84.13507603159766,-274.68403692353064
No preference update,No feedback,2002,308.68536328532167,223.55670778855264,85.12865549676901,-275.2815020365729
No preference update,No feedback,2003,309.4432512529164,224.36103344554817,85.08221780736824,-274.49162112612106
No preference update,No feedback,Mean of 3 seeds,308.8103201341121,224.02833702220045,84.78198311191164,-274.81905336207484
No preference update,ECF,2001,309.39024515846904,225.25661925833364,84.1336259001354,-273.60167588863624
No preference update,ECF,2002,310.3990832713405,225.23975553167512,85.1593277396654,-273.6133157069023
No preference update,ECF,2003,310.4559212542878,225.78307545806172,84.67284579622608,-273.0827812562781
No preference update,ECF,Mean of 3 seeds,310.0817498946991,225.42648341602347,84.65526647867563,-273.4325909506056
No preference update,Same update without qualification,2001,289.1808156818868,220.9956273877871,68.18518829409973,-277.8324090438882
No preference update,Same update without qualification,2002,290.63719834174526,221.21144610156176,69.42575224018351,-277.61361641959616
No preference update,Same update without qualification,2003,290.3529909985451,221.8472479173942,68.50574308115092,-276.9912389345103
No preference update,Same update without qualification,Mean of 3 seeds,290.05700167405905,221.35144046891435,68.70556120514473,-277.47908813266486
No preference update,Equal-total shadow,2001,308.2718382356553,224.16736334122248,84.10447489443288,-274.68394520653163
No preference update,Equal-total shadow,2002,308.66850502223446,223.55641748423727,85.11208753799711,-275.2817911730658
No preference update,Equal-total shadow,2003,309.44065693909505,224.3611500100629,85.07950692903215,-274.49150622226387
No preference update,Equal-total shadow,Mean of 3 seeds,308.7936667323283,224.02831027850758,84.76535645382071,-274.8190808672871
