Comparator,Seed,Delivery difference (MWh),Mean difference (kWh/day),95% lower (kWh/day),95% upper (kWh/day),Negative error (kWh/day),Positive error (kWh/day),Positive dates,Negative dates,Unchanged dates
No feedback,2001,-0.03250782448437761,-0.40634780605472015,-2.548309189798867,1.7356135776894266,2.141961383744147,2.141961383744147,28,52,0
No feedback,2002,0.0495488324418335,0.6193604055229187,-1.6768304621860235,2.9155512732318605,2.296190867708942,2.2961908677089418,29,50,1
No feedback,2003,0.12141604543292495,1.5177005679115618,-1.2128391525192166,4.2482402883423385,2.7305397204307784,2.7305397204307766,35,45,0
No feedback,Mean of 3 seeds,0.04615235113012695,0.5769043891265869,-0.5796206994138554,1.7334294776670287,1.1565250885404423,1.156525088540442,36,44,0
Same update without qualification,2001,0.33789100536641714,4.223637567080214,1.4512453138158428,6.996029820344585,2.772392253264371,2.772392253264371,56,24,0
Same update without qualification,2002,0.4733446934483241,5.916808668104051,1.8184122711298494,10.015205065078252,4.098396396974201,4.098396396974201,50,30,0
Same update without qualification,2003,0.5528109874301975,6.910137342877468,0.510424454195418,13.309850231559519,6.399712888682051,6.399712888682051,54,26,0
Same update without qualification,Mean of 3 seeds,0.45468222874831293,5.683527859353911,2.5396244754134827,8.82743124329434,3.1439033839404287,3.1439033839404287,57,23,0
Equal-total shadow,2001,0.016807117838551155,0.21008897298188944,-1.8095226654507426,2.2297006114145206,2.019611638432632,2.019611638432631,32,48,0
Equal-total shadow,2002,0.12309594447921823,1.5386993059902279,-0.6991456744274104,3.7765442864078644,2.237844980417638,2.237844980417637,40,39,1
Equal-total shadow,2003,0.15203330857748498,1.9004163572185622,-1.1729278871543978,4.973760601591523,3.0733442443729597,3.0733442443729606,37,42,1
Equal-total shadow,Mean of 3 seeds,0.09731212363175146,1.2164015453968933,-0.017625181356927973,2.4504282721507145,1.2340267267538212,1.2340267267538212,38,42,0
