Mapping,Control,Delivery (MWh),Authorization (MWh),Unused authorization (MWh),Source exchange (MWh),Qualifying intervals
M01,No feedback,226.37806812616935,308.61272673709743,82.23465861092804,-272.26045601508036,0
M01,Previous-day persistence,193.063468090386,216.47242417264832,23.408956082262296,-305.4301795892301,0
M01,ECF,228.4795007228845,309.43227729259996,80.95277656971547,-270.1814919476838,662
M01,Equal-total control,226.3763212543435,308.5830329849834,82.20671173063987,-272.26219201898925,0
M02,No feedback,118.58773052254337,163.94503152762294,45.35730100507957,-379.3942652941392,0
M02,Previous-day persistence,111.55797399441543,123.24091714768463,11.682943153269198,-386.4675972888908,0
M02,ECF,119.45246131369285,165.1624044767086,45.70994316301572,-378.53391609247524,406
M02,Equal-total control,118.58735392032138,163.9361134572235,45.34875953690213,-379.39464134438623,0
M03,No feedback,245.41322655378596,334.5419438399496,89.12871728616369,-253.38991280925165,0
M03,Previous-day persistence,211.7298266400994,240.46511126611352,28.735284626014128,-286.947308276606,0
M03,ECF,250.46868865942758,338.1641553614231,87.69546670199554,-248.39271559533555,856
M03,Equal-total control,245.41222996532633,334.50499743966145,89.0927674743351,-253.39090529360288,0
M04,No feedback,270.37171369204685,381.0713932640407,110.69967957199387,-228.76623750122747,0
M04,Previous-day persistence,229.40615473650175,259.84818992093415,30.442035184432402,-269.4821881993101,0
M04,ECF,271.73231554055724,382.010500315074,110.27818477451677,-227.4238112520665,463
M04,Equal-total control,270.37184048109356,381.0550280364426,110.68318755534905,-228.76611298761395,0
M05,No feedback,187.67743954238358,256.2452760049672,68.56783646258364,-310.65297239441276,0
M05,Previous-day persistence,160.34538386400024,178.46770842067096,18.122324556670726,-337.8995304437125,0
M05,ECF,190.62531574316316,258.7266829808616,68.10136723769841,-307.7297442418529,798
M05,Equal-total control,187.67594386995845,256.2352684901362,68.55932462017778,-310.6544629296865,0
