PV capacity factor,Setting,Primary reference,Comparator,Delivery difference (MWh),Mean daily difference (kWh/day),95% lower (kWh/day),95% upper (kWh/day),Negative error (kWh/day),Positive error (kWh/day),Authorization difference (MWh),Unused difference (MWh),Gain per PV capacity (MWh/MW),Gain relative to comparator,Positive days,Negative days,Unchanged days,Qualifying intervals,Assessed intervals,Failed control records,Failed replay records
0.5,PV050,false,No feedback,1.6624884562332802,20.781105702916005,11.187908303251817,30.374303102580193,9.593197399664188,9.593197399664188,2.261686015393991,0.5991975591607002,0.8129690989196332,0.008304824487255214,51,28,1,440,3840,0,0
0.5,PV050,false,Equal-total control,1.7045029067842887,21.30628633480361,11.818154317884316,30.794418351722896,9.488132016919293,9.488132016919288,2.5516389138858244,0.8471360071015255,0.8335144746652462,0.00851649166194765,51,28,1,440,3840,0,0
0.5,PV050,false,Previous-day persistence,47.52449318163774,594.0561647704717,552.1420224469654,635.970307093978,41.914142323506326,41.914142323506326,116.55127259826884,69.0267794166311,23.239827172109333,0.3079577932988778,80,0,0,440,3840,0,0
0.75,PV075,false,No feedback,1.8785039695502395,23.481299619377992,11.056150725129108,35.90644851362688,12.425148894248885,12.425148894248885,1.8817534108027871,0.003249441252506813,0.6124015172220924,0.00837908207652607,49,31,0,456,3840,0,0
0.75,PV075,false,Equal-total control,1.8842114671444548,23.552643339305686,11.125884317428534,35.979402361182835,12.426759021877151,12.42675902187715,2.0591154953151545,0.17490402817068684,0.6142621894606907,0.008404754386571575,49,31,0,456,3840,0,0
0.75,PV075,false,Previous-day persistence,49.77421322109128,622.1776652636411,585.4457430647587,658.9095874625234,36.73192219888233,36.73192219888233,117.8967969213991,68.1225837003078,16.226637893360603,0.28233640049534264,80,0,0,456,3840,0,0
1,PV100,true,No feedback,1.3922339022548225,17.40292377818528,4.611342529514079,30.194505026856483,12.7915812486712,12.791581248671203,1.2064296342909984,-0.1858042679637748,0.34040631583268194,0.005850623683460107,44,32,4,483,3840,0,
1,PV100,true,Equal-total control,1.3919993710973906,17.39999213871738,4.608810374218326,30.191173903216434,12.791181764499054,12.791181764499054,1.2132508196267509,-0.1787485514706333,0.3403489721010575,0.0058496323413187515,44,32,4,483,3840,0,
1,PV100,true,Previous-day persistence,50.326010916320726,629.075136454009,593.6415493027293,664.5087236052887,35.43358715127965,35.43358715127965,117.39990217045911,67.0738912541384,12.304894988431698,0.26623355850480723,80,0,0,483,3840,0,
1.25,PV125,false,No feedback,1.4881984483177197,18.602480603971497,5.534599492616282,31.67036171532671,13.067881111355215,13.067881111355213,1.3416188170538703,-0.14657963126389006,0.2910960005782285,0.006019396686082489,47,29,4,492,3840,0,0
1.25,PV125,false,Equal-total control,1.4887026116299475,18.608782645374344,5.536767351298723,31.680797939449967,13.072015294075621,13.072015294075623,1.3599999792256199,-0.128702632404341,0.29119461640731614,0.006021448181713469,48,30,2,492,3840,0,0
1.25,PV125,false,Previous-day persistence,51.12206196085301,639.0257745106627,604.0716655000408,673.9798835212846,34.95410901062189,34.95410901062189,117.56990824487863,66.44784628402559,9.999625920144505,0.25871494293000646,80,0,0,492,3840,0,0
1.5,PV150,false,No feedback,1.677774851167395,20.97218563959244,6.834322266504068,35.110049012680804,14.137863373088372,14.137863373088365,1.8668478301574964,0.18907297899013997,0.2734814195409939,0.006604979884034299,46,32,2,511,3840,0,0
1.5,PV150,false,Equal-total control,1.67771364049682,20.97142050621025,6.832339360364845,35.11050165205566,14.139081145845406,14.13908114584541,1.8686878801822786,0.1909742396854739,0.27347144205142293,0.006604737321385643,47,32,1,511,3840,0,0
1.5,PV150,false,Previous-day persistence,51.93865395718643,649.2331744648304,614.9181940292283,683.5481549004326,34.31498043560214,34.31498043560214,118.95008492524562,67.01143096805923,8.466128100189659,0.254906421563943,80,0,0,511,3840,0,0
