Setting,Date,Control,Delivery (MWh),Authorization (MWh),Unused authorization (MWh),Source exchange (MWh),Qualifying intervals
PV050,2013-01-02,ECF,3.186590032267564,4.118115418687867,0.9315253864203035,-1.7144305666741237,6
PV050,2013-01-02,Equal-total control,3.1411006786868594,4.063858012411444,0.9227573337245841,-1.7595251367430353,0
PV050,2013-01-02,No feedback,3.1411278470181867,4.074405642960418,0.933277795942231,-1.7594979598374783,0
PV050,2013-01-02,Previous-day persistence,2.8104217053239364,3.465421699006453,0.6549999936825162,-2.0879007476618034,0
PV050,2013-01-03,ECF,3.6005768010231427,3.9843761899884953,0.3837993889653526,-0.9195439578114251,8
PV050,2013-01-03,Equal-total control,3.6088640704987176,4.030250583091458,0.4213865125927403,-0.9115169051633318,0
PV050,2013-01-03,No feedback,3.608867202427133,4.030254172181736,0.421386969754603,-0.9115138253440013,0
PV050,2013-01-03,Previous-day persistence,2.7545615578354052,2.9574803521288064,0.20291879429340162,-1.760398426528857,0
PV050,2013-01-04,ECF,3.8446739978983024,4.146976406067331,0.3023024081690292,-1.3069746826458295,4
PV050,2013-01-04,Equal-total control,3.8471237237053337,4.14960220293056,0.30247847922522636,-1.3045654616937794,0
PV050,2013-01-04,No feedback,3.847130829893117,4.1496090195471504,0.30247818965403406,-1.3045583988211515,0
PV050,2013-01-04,Previous-day persistence,3.2288461465074887,3.36403990228525,0.13519375577776158,-1.917374259643006,0
PV050,2013-01-05,ECF,3.9950126345666455,4.266085992329001,0.2710733577623549,-2.202523834582127,2
PV050,2013-01-05,Equal-total control,3.9952186644741436,4.266519756674517,0.27130109220037346,-2.2023184559814974,0
PV050,2013-01-05,No feedback,3.9952188639911257,4.26651998542932,0.27130112143819507,-2.202318258050248,0
PV050,2013-01-05,Previous-day persistence,3.4629718759318666,3.5159349255346957,0.0529630496028293,-2.730390148796165,0
PV050,2013-01-06,ECF,4.096046691216518,4.369249929608169,0.2732032383916506,-1.9398469132734641,6
PV050,2013-01-06,Equal-total control,4.092800711511516,4.373258907129623,0.28045819561810725,-1.9429940546823123,0
PV050,2013-01-06,No feedback,4.092788909650678,4.373246611724856,0.28045770207417786,-1.9430057010868285,0
PV050,2013-01-06,Previous-day persistence,3.511708426498358,3.5708061894900798,0.05909776299172169,-2.519488564611344,0
PV050,2013-01-07,ECF,3.675610535991284,4.162735457740737,0.4871249217494543,-1.8240664232727388,4
PV050,2013-01-07,Equal-total control,3.6848478278980843,4.199069931493987,0.5142221035959038,-1.8149907459755945,0
PV050,2013-01-07,No feedback,3.6848416810736735,4.199064043711267,0.5142223626375936,-1.8149968186822392,0
PV050,2013-01-07,Previous-day persistence,3.202580466182497,3.484651474751622,0.28207100856912526,-2.293862593473257,0
PV050,2013-01-08,ECF,3.2199479747479924,3.707844938484528,0.4878969637365353,-7.073182855241195,1
PV050,2013-01-08,Equal-total control,3.2199479747479924,3.707844938484528,0.4878969637365353,-7.073182855243614,0
PV050,2013-01-08,No feedback,3.2199479747479924,3.707844938484528,0.4878969637365353,-7.073182855241421,0
PV050,2013-01-08,Previous-day persistence,2.5902977715810405,2.8508941756279746,0.26059640404693396,-7.6994163221067975,0
PV050,2013-01-12,ECF,2.934951334000476,4.085045604192979,1.1500942701925037,-4.331750578311998,7
PV050,2013-01-12,Equal-total control,2.911646233756721,4.02962191209893,1.11797567834221,-4.354963287353694,0
