PV capacity factor,Setting,Primary reference,Control,PV capacity (MW),Delivery (MWh),Authorization (MWh),Unused authorization (MWh),Source exchange (MWh),Qualifying intervals,Power-flow calls,Control intervals,Failed control intervals
0.5,PV050,false,No feedback,2.0449589762299527,200.18345466356038,298.695539528094,98.51208486453362,-303.93374849653003,0,38217,3840,0
0.5,PV050,false,Previous-day persistence,2.0449589762299527,154.32144993815592,184.40595294521916,30.084503007063223,-349.52002935356495,0,32188,3840,0
0.5,PV050,false,ECF,2.0449589762299527,201.84594311979367,300.957225543488,99.11128242369432,-302.2890664771358,440,70894,3840,0
0.5,PV050,false,Equal-total control,2.0449589762299527,200.1414402130094,298.40558662960217,98.2641464165928,-303.9753644302974,0,38081,3840,0
0.75,PV075,false,No feedback,3.067438464344929,224.1897086570918,318.31037038858454,94.12066173149275,-276.7062079084212,0,41771,3840,0
0.75,PV075,false,Previous-day persistence,3.067438464344929,176.29399940555078,202.29532687798823,26.001327472437453,-324.30353265439635,0,35627,3840,0
0.75,PV075,false,ECF,3.067438464344929,226.06821262664207,320.19212379938733,94.12391117274525,-274.8479908271605,456,77449,3840,0
0.75,PV075,false,Equal-total control,3.067438464344929,224.18400115949763,318.1330083040722,93.94900714457457,-276.7118642764692,0,41669,3840,0
1,PV100,true,No feedback,4.089917952459905,237.96333136084456,328.4897415175834,90.52641015673883,-260.95906993127784,0,43628,3840,0
1,PV100,true,Previous-day persistence,4.089917952459905,189.02955434677864,212.2962689814153,23.26671463463665,-309.5835180585937,0,37201,3840,0
1,PV100,true,ECF,4.089917952459905,239.35556526309938,329.6961711518744,90.34060588877506,-259.58184532765546,483,80941,3840,0
1,PV100,true,Equal-total control,4.089917952459905,237.96356589200198,328.48292033224766,90.51935444024569,-260.9588379733538,0,43628,3840,0
1.25,PV125,false,No feedback,5.112397440574882,247.2338219141794,335.1825537930788,87.94873187889941,-250.32087790827435,0,44445,3840,0
1.25,PV125,false,Previous-day persistence,5.112397440574882,197.5999584016441,218.95426436525403,21.35430596360994,-299.6392280263553,0,38430,3840,0
1.25,PV125,false,ECF,5.112397440574882,248.72202036249712,336.52417261013267,87.80215224763552,-248.84850526646352,492,82868,3840,0
1.25,PV125,false,Equal-total control,5.112397440574882,247.23331775086717,335.16417263090705,87.93085488003986,-250.32138380162084,0,44428,3840,0
1.5,PV150,false,No feedback,6.134876928689858,254.01664813892148,340.65049200012584,86.63384386120435,-242.51375316843732,0,44985,3840,0
1.5,PV150,false,Previous-day persistence,6.134876928689858,203.75576903290244,223.56725490503771,19.81148587213526,-292.45371448948333,0,39557,3840,0
1.5,PV150,false,ECF,6.134876928689858,255.69442299008887,342.51733983028333,86.8229168401945,-240.85425007586375,511,84024,3840,0
1.5,PV150,false,Equal-total control,6.134876928689858,254.01670934959205,340.64865195010105,86.63194260050902,-242.5136929218141,0,44985,3840,0
