load_name,bus_name,phase,lv_feeder_id,source_file,ausgrid_customer_id,adoption_rank,participant_33pct,participant_50pct,participant_100pct
ld1000_load_a,b1085,1,LV9_258bus,LV/LV9_258bus/Loads.dss,137,529,0,1,1
ld1003_load_b,b3059,2,LV11_216bus,LV/LV11_216bus/Loads.dss,159,706,0,0,1
ld100_load_b,b3403,2,LV24_246bus,LV/LV24_246bus/Loads.dss,154,657,0,0,1
ld1010_load_c,b978,3,LV12_248bus,LV/LV12_248bus/Loads.dss,27,1097,0,0,1
ld1014_load_a,b975,1,LV12_248bus,LV/LV12_248bus/Loads.dss,285,346,1,1,1
ld1017_load_c,b331,3,LV17_279bus,LV/LV17_279bus/Loads.dss,115,547,0,1,1
ld101_load_a,b124,1,LV30_315bus,LV/LV30_315bus/Loads.dss,70,598,0,1,1
ld1023_load_a,b2712,1,LV29_90bus,LV/LV29_90bus/Loads.dss,242,364,1,1,1
ld1025_load_a,b1067,1,LV17_279bus,LV/LV17_279bus/Loads.dss,231,559,0,1,1
ld1028_load_b,b615,2,LV10_223bus,LV/LV10_223bus/Loads.dss,76,157,1,1,1
ld1031_load_c,b2702,3,LV32_100bus,LV/LV32_100bus/Loads.dss,136,786,0,0,1
ld1032_load_b,b1610,2,LV17_279bus,LV/LV17_279bus/Loads.dss,19,512,0,1,1
ld1036_load_c,b2104,3,LV26_205bus,LV/LV26_205bus/Loads.dss,67,767,0,0,1
ld1037_load_b,b3378,2,LV9_258bus,LV/LV9_258bus/Loads.dss,157,491,0,1,1
ld1039_load_c,b1717,3,LV11_216bus,LV/LV11_216bus/Loads.dss,194,591,0,1,1
ld1049_load_a,b1345,1,LV15_137bus,LV/LV15_137bus/Loads.dss,153,678,0,0,1
ld1056_load_a,b2368,1,LV24_246bus,LV/LV24_246bus/Loads.dss,114,487,0,1,1
ld1058_load_b,b1964,2,LV12_248bus,LV/LV12_248bus/Loads.dss,158,1222,0,0,1
ld105_load_c,b1231,3,LV12_248bus,LV/LV12_248bus/Loads.dss,290,819,0,0,1
ld1063_load_b,b2675,2,LV30_315bus,LV/LV30_315bus/Loads.dss,111,410,1,1,1
ld1064_load_c,b1628,3,LV9_258bus,LV/LV9_258bus/Loads.dss,71,1223,0,0,1
ld1065_load_b,b1914,2,LV24_246bus,LV/LV24_246bus/Loads.dss,110,1155,0,0,1
ld1066_load_a,b3295,1,LV11_216bus,LV/LV11_216bus/Loads.dss,200,1226,0,0,1
ld106_load_a,b1888,1,LV11_216bus,LV/LV11_216bus/Loads.dss,118,649,0,0,1
ld1070_load_c,b2765,3,LV24_246bus,LV/LV24_246bus/Loads.dss,74,969,0,0,1
ld1073_load_a,b94,1,LV9_258bus,LV/LV9_258bus/Loads.dss,207,1225,0,0,1
ld1077_load_a,b1018,1,LV26_205bus,LV/LV26_205bus/Loads.dss,4,321,1,1,1
ld1082_load_b,b3292,2,LV9_258bus,LV/LV9_258bus/Loads.dss,103,1153,0,0,1
ld1084_load_c,b2603,3,LV22_80bus,LV/LV22_80bus/Loads.dss,275,704,0,0,1
ld1085_load_c,b2737,3,LV9_258bus,LV/LV9_258bus/Loads.dss,128,574,0,1,1
ld1086_load_c,b1205,3,LV10_223bus,LV/LV10_223bus/Loads.dss,38,567,0,1,1
ld1092_load_a,b45,1,LV22_80bus,LV/LV22_80bus/Loads.dss,40,121,1,1,1
ld1102_load_b,b1677,2,LV15_137bus,LV/LV15_137bus/Loads.dss,16,1004,0,0,1
ld1103_load_c,b2569,3,LV15_137bus,LV/LV15_137bus/Loads.dss,12,5,1,1,1
ld1104_load_c,b2393,3,LV17_279bus,LV/LV17_279bus/Loads.dss,271,501,0,1,1
ld1106_load_b,b156,2,LV26_205bus,LV/LV26_205bus/Loads.dss,246,181,1,1,1
ld1109_load_b,b1822,2,LV11_216bus,LV/LV11_216bus/Loads.dss,86,314,1,1,1
ld1119_load_a,b2047,1,LV10_223bus,LV/LV10_223bus/Loads.dss,223,703,0,0,1
ld111_load_c,b2467,3,LV17_279bus,LV/LV17_279bus/Loads.dss,82,114,1,1,1
ld1121_load_a,b298,1,LV9_258bus,LV/LV9_258bus/Loads.dss,154,236,1,1,1
ld1125_load_a,b220,1,LV24_246bus,LV/LV24_246bus/Loads.dss,3,302,1,1,1
ld1126_load_b,b1505,2,LV9_258bus,LV/LV9_258bus/Loads.dss,52,644,0,0,1
ld1127_load_c,b1791,3,LV30_315bus,LV/LV30_315bus/Loads.dss,267,892,0,0,1
ld1128_load_b,b2932,2,LV10_223bus,LV/LV10_223bus/Loads.dss,80,1136,0,0,1
ld1129_load_b,b723,2,LV24_246bus,LV/LV24_246bus/Loads.dss,135,860,0,0,1
ld1132_load_b,b1704,2,LV22_80bus,LV/LV22_80bus/Loads.dss,6,160,1,1,1
ld1136_load_b,b1794,2,LV25_232bus,LV/LV25_232bus/Loads.dss,87,1152,0,0,1
ld1137_load_c,b1961,3,LV24_246bus,LV/LV24_246bus/Loads.dss,213,1026,0,0,1
ld1139_load_a,b1672,1,LV24_246bus,LV/LV24_246bus/Loads.dss,284,626,0,1,1
ld1140_load_c,b3256,3,LV11_216bus,LV/LV11_216bus/Loads.dss,72,628,0,1,1
ld1143_load_c,b3126,3,LV10_223bus,LV/LV10_223bus/Loads.dss,95,1201,0,0,1
ld1149_load_c,b1418,3,LV26_205bus,LV/LV26_205bus/Loads.dss,44,197,1,1,1
ld1151_load_a,b1959,1,LV17_279bus,LV/LV17_279bus/Loads.dss,167,801,0,0,1
ld1162_load_b,b948,2,LV29_90bus,LV/LV29_90bus/Loads.dss,189,307,1,1,1
ld1167_load_b,b499,2,LV24_246bus,LV/LV24_246bus/Loads.dss,162,1016,0,0,1
ld1170_load_b,b2320,2,LV17_279bus,LV/LV17_279bus/Loads.dss,291,1215,0,0,1
ld1171_load_a,b981,1,LV26_205bus,LV/LV26_205bus/Loads.dss,101,1070,0,0,1
ld1172_load_c,b1258,3,LV17_279bus,LV/LV17_279bus/Loads.dss,92,768,0,0,1
ld1174_load_a,b1593,1,LV10_223bus,LV/LV10_223bus/Loads.dss,139,434,0,1,1
ld1178_load_a,b989,1,LV30_315bus,LV/LV30_315bus/Loads.dss,39,630,0,0,1
ld1179_load_c,b1112,3,LV12_248bus,LV/LV12_248bus/Loads.dss,155,828,0,0,1
ld1186_load_b,b1373,2,LV10_223bus,LV/LV10_223bus/Loads.dss,45,550,0,1,1
ld118_load_b,b838,2,LV11_216bus,LV/LV11_216bus/Loads.dss,202,334,1,1,1
ld1195_load_a,b1836,1,LV15_137bus,LV/LV15_137bus/Loads.dss,172,1086,0,0,1
ld1196_load_a,b2435,1,LV17_279bus,LV/LV17_279bus/Loads.dss,121,166,1,1,1
ld1197_load_b,b70,2,LV30_315bus,LV/LV30_315bus/Loads.dss,33,976,0,0,1
ld1202_load_c,b2345,3,LV24_246bus,LV/LV24_246bus/Loads.dss,52,1052,0,0,1
ld1209_load_c,b2591,3,LV29_90bus,LV/LV29_90bus/Loads.dss,300,490,0,1,1
ld120_load_b,b2162,2,LV10_223bus,LV/LV10_223bus/Loads.dss,274,579,0,1,1
ld1212_load_a,b2158,1,LV31_15bus,LV/LV31_15bus/Loads.dss,73,444,0,1,1
ld1213_load_b,b2478,2,LV15_137bus,LV/LV15_137bus/Loads.dss,59,1081,0,0,1
ld1222_load_a,b2072,1,LV24_246bus,LV/LV24_246bus/Loads.dss,84,123,1,1,1
ld1224_load_b,b2454,2,LV24_246bus,LV/LV24_246bus/Loads.dss,183,70,1,1,1
ld1236_load_a,b2193,1,LV29_90bus,LV/LV29_90bus/Loads.dss,184,291,1,1,1
ld1242_load_a,b1029,1,LV11_216bus,LV/LV11_216bus/Loads.dss,144,725,0,0,1
ld1247_load_c,b364,3,LV9_258bus,LV/LV9_258bus/Loads.dss,290,810,0,0,1
ld1248_load_c,b46,3,LV30_315bus,LV/LV30_315bus/Loads.dss,57,449,0,1,1
ld1258_load_b,b218,2,LV11_216bus,LV/LV11_216bus/Loads.dss,296,372,1,1,1
ld1263_load_b,b3356,2,LV26_205bus,LV/LV26_205bus/Loads.dss,299,1126,0,0,1
ld1267_load_a,b2840,1,LV30_315bus,LV/LV30_315bus/Loads.dss,107,282,1,1,1
ld126_load_b,b2065,2,LV30_315bus,LV/LV30_315bus/Loads.dss,4,728,0,0,1
ld1270_load_a,b562,1,LV12_248bus,LV/LV12_248bus/Loads.dss,162,473,0,1,1
ld1277_load_b,b2793,2,LV12_248bus,LV/LV12_248bus/Loads.dss,215,1042,0,0,1
ld1278_load_c,b600,3,LV26_205bus,LV/LV26_205bus/Loads.dss,94,806,0,0,1
ld1282_load_c,b563,3,LV10_223bus,LV/LV10_223bus/Loads.dss,32,1023,0,0,1
ld1283_load_c,b399,3,LV12_248bus,LV/LV12_248bus/Loads.dss,160,428,0,1,1
ld1287_load_c,b1541,3,LV11_216bus,LV/LV11_216bus/Loads.dss,122,187,1,1,1
ld1288_load_a,b2081,1,LV26_205bus,LV/LV26_205bus/Loads.dss,74,271,1,1,1
ld1290_load_b,b2894,2,LV17_279bus,LV/LV17_279bus/Loads.dss,48,943,0,0,1
ld1291_load_b,b828,2,LV3_55bus,LV/LV3_55bus/Loads.dss,232,438,0,1,1
ld1295_load_b,b51,2,LV26_205bus,LV/LV26_205bus/Loads.dss,42,1255,0,0,1
ld1297_load_c,b1995,3,LV13_58bus,LV/LV13_58bus/Loads.dss,176,923,0,0,1
ld1302_load_c,b2748,3,LV17_279bus,LV/LV17_279bus/Loads.dss,108,194,1,1,1
ld1307_load_a,b901,1,LV11_216bus,LV/LV11_216bus/Loads.dss,116,230,1,1,1
ld1308_load_b,b567,2,LV30_315bus,LV/LV30_315bus/Loads.dss,87,746,0,0,1
ld1310_load_a,b833,1,LV9_258bus,LV/LV9_258bus/Loads.dss,198,179,1,1,1
ld1314_load_a,b1313,1,LV12_248bus,LV/LV12_248bus/Loads.dss,15,113,1,1,1
ld1315_load_c,b835,3,LV30_315bus,LV/LV30_315bus/Loads.dss,266,566,0,1,1
ld1318_load_b,b1842,2,LV9_258bus,LV/LV9_258bus/Loads.dss,106,661,0,0,1
ld1323_load_b,b2376,2,LV29_90bus,LV/LV29_90bus/Loads.dss,123,931,0,0,1
ld1326_load_a,b2169,1,LV17_279bus,LV/LV17_279bus/Loads.dss,175,176,1,1,1
ld1327_load_c,b1643,3,LV9_258bus,LV/LV9_258bus/Loads.dss,50,263,1,1,1
ld1328_load_c,b1406,3,LV26_205bus,LV/LV26_205bus/Loads.dss,201,1069,0,0,1
ld132_load_a,b154,1,LV17_279bus,LV/LV17_279bus/Loads.dss,95,128,1,1,1
ld1332_load_c,b349,3,LV25_232bus,LV/LV25_232bus/Loads.dss,221,281,1,1,1
ld1334_load_a,b3385,1,LV9_258bus,LV/LV9_258bus/Loads.dss,248,1011,0,0,1
ld1335_load_c,b488,3,LV15_137bus,LV/LV15_137bus/Loads.dss,132,150,1,1,1
ld1339_load_b,b3240,2,LV9_258bus,LV/LV9_258bus/Loads.dss,152,1051,0,0,1
ld133_load_c,b98,3,LV26_205bus,LV/LV26_205bus/Loads.dss,189,755,0,0,1
ld1351_load_b,b1589,2,LV17_279bus,LV/LV17_279bus/Loads.dss,40,959,0,0,1
ld1355_load_c,b672,3,LV24_246bus,LV/LV24_246bus/Loads.dss,193,1099,0,0,1
ld135_load_c,b338,3,LV24_246bus,LV/LV24_246bus/Loads.dss,226,313,1,1,1
ld1368_load_a,b2201,1,LV30_315bus,LV/LV30_315bus/Loads.dss,79,858,0,0,1
ld1370_load_b,b1777,2,LV11_216bus,LV/LV11_216bus/Loads.dss,46,287,1,1,1
ld137_load_a,b2128,1,LV22_80bus,LV/LV22_80bus/Loads.dss,151,382,1,1,1
ld1389_load_b,b1652,2,LV30_315bus,LV/LV30_315bus/Loads.dss,26,167,1,1,1
ld138_load_c,b187,3,LV30_315bus,LV/LV30_315bus/Loads.dss,131,206,1,1,1
ld1396_load_a,b387,1,LV32_100bus,LV/LV32_100bus/Loads.dss,238,258,1,1,1
ld13_load_a,b1472,1,LV15_137bus,LV/LV15_137bus/Loads.dss,109,825,0,0,1
ld1400_load_c,b1340,3,LV11_216bus,LV/LV11_216bus/Loads.dss,103,173,1,1,1
ld1403_load_c,b1627,3,LV17_279bus,LV/LV17_279bus/Loads.dss,211,1181,0,0,1
ld1404_load_a,b2500,1,LV17_279bus,LV/LV17_279bus/Loads.dss,215,292,1,1,1
