reporter_id,q_mode,method_id,forecast_cv,gamma_from,gamma_to,own_delivery_increment_kw,outside_delivery_decrement_kw,feeder_delivery_increment_kw,idle_award_increment_kw,stepwise_consequence_equivalent_ratio
p001,Q0,equal_kw_reduction,0.0,1.1,1.2,1.7603357961062938,4.749549377445483,-2.9892135813391896,1.6846624404135007,2.8192884601141257
p001,Q0,equal_kw_reduction,0.05,1.0,1.1,3.334431193951,3.9855399949918007,-0.6511088010408006,0.12763725121678338,31.225523559909842
p001,Q0,equal_kw_reduction,0.05,1.1,1.2,1.7366878724522916,4.43149919592023,-2.6948113234679383,1.7083103640675028,2.5940831883550652
p001,Q0,equal_kw_reduction,0.05,1.2,1.3,0.15128517487078552,4.885692721875168,-4.734407547004382,3.2763276635263336,1.4912100447904113
p001,Q0,equal_kw_reduction,0.1,1.0,1.1,2.782116866371372,3.5183355458182146,-0.7362186794468428,0.6799515787964117,5.174391317755378
p001,Q0,equal_kw_reduction,0.1,1.1,1.2,1.7366878724522916,3.9120172327620217,-2.17532936030973,1.7083103640675028,2.289992096897119
p001,Q0,equal_kw_reduction,0.1,1.2,1.3,0.6967164422964495,4.312967976966495,-3.6162515346700452,2.7308963961006696,1.5793231786913622
p001,Q0,equal_kw_reduction,0.1,1.3,1.4,0.13231092007433276,4.722740111203064,-4.590429191128731,3.2775340209033126,1.4409431240324522
p001,Q0,equal_kw_reduction,0.2,1.0,1.1,2.380172056052853,3.156013728091777,-0.7758416720389238,1.08189638911493,2.9171127289496046
p001,Q0,equal_kw_reduction,0.2,1.1,1.2,1.7366878724522916,3.5091536694964454,-1.7724657970441537,1.7083103640675028,2.054166352501145
p001,Q0,equal_kw_reduction,0.2,1.2,1.3,1.0711290119991002,3.8688140931597284,-2.797685081160628,2.356483826398019,1.6417740914748256
p001,Q0,equal_kw_reduction,0.2,1.3,1.4,0.7423589891084464,4.236387471024935,-3.494028481916489,2.6674859518691987,1.5881573689474742
p001,Q0,equal_kw_reduction,0.2,1.4,1.5,0.21197627087087695,4.613409029240116,-4.401432758369239,3.1796440630631264,1.4509199576243652
p001,Q0,equal_kw_reduction,0.2,1.5,1.6,0.008438090392359765,0.1921465915439291,-0.18370850115156934,0.12657135588536872,1.518089066833965
p001,Q0,equal_kw_reduction,0.3,1.0,1.1,2.38017205605285,3.0511310966446286,-0.6709590405917787,1.0818963891149336,2.820169405631038
p001,Q0,equal_kw_reduction,0.3,1.1,1.2,1.7366878724522952,3.392535269603817,-1.655847397151522,1.7083103640674995,1.985901005439179
p001,Q0,equal_kw_reduction,0.3,1.2,1.3,1.0711290119991002,3.7402432320576553,-2.669114220058555,2.356483826398019,1.5872136231780416
p001,Q0,equal_kw_reduction,0.3,1.3,1.4,1.0655765440555145,4.105162416710363,-3.0395858726548486,2.3442683969221307,1.7511486407017942
p001,Q0,equal_kw_reduction,0.3,1.4,1.5,0.7924149659238113,4.474031112949035,-3.681616147025224,2.599205368010192,1.7213072764519974
p001,Q0,equal_kw_reduction,0.3,1.5,1.6,0.008438090392359765,0.18634155856672718,-0.17790346817436742,0.12657135588536872,1.4722253488023804
p001,Q0,fairness_qp,0.0,1.3,1.4,0.34760212341577307,3.0991123876774536,-2.7515102642616807,1.5706302322530674,1.9731648634012222
p001,Q0,fairness_qp,0.05,1.1,1.2,2.181201310975496,3.173615183515395,-0.992413872539899,0.07354619097071913,43.15131948544967
p001,Q0,fairness_qp,0.05,1.2,1.3,1.5947134880908778,3.158354980971452,-1.5636414928805742,0.49557033296185327,6.373172022011591
p001,Q0,fairness_qp,0.05,1.3,1.4,0.7297984074274289,3.08214383309674,-2.352345425669311,1.1884339482414117,2.5934498401510244
p001,Q0,fairness_qp,0.05,1.4,1.5,0.16815242217597948,2.9550031444647713,-2.7868507222887917,1.5755572616519344,1.8755288788212752
p001,Q0,fairness_qp,0.05,1.5,1.6,0.018767817744937132,2.7886411637078403,-2.7698733459629032,1.5526236815325765,1.7960831055695388
p001,Q0,fairness_qp,0.1,1.0,1.1,2.256195485244146,2.881214585653498,-0.6250191004093519,0.15041303234961112,19.15535203729271
p001,Q0,fairness_qp,0.1,1.1,1.2,1.8196410191917005,2.969563816479906,-1.1499227972882053,0.4351064827545145,6.824912829798776
p001,Q0,fairness_qp,0.1,1.2,1.3,1.4370701269737565,2.970675614739911,-1.5336054877661542,0.6532136940789746,4.547785267926045
p001,Q0,fairness_qp,0.1,1.3,1.4,0.7297984074274289,2.898331384909081,-2.168532977481652,1.1884339482414117,2.4387820536411757
p001,Q0,fairness_qp,0.1,1.4,1.5,0.5449092761962218,2.7783349612144974,-2.2334256850182754,1.1988004076316923,2.317595943017135
p001,Q0,fairness_qp,0.1,1.5,1.6,0.1732832396846018,2.6216304837132496,-2.448347244028648,1.3981082595929117,1.8751269551018832
p001,Q0,fairness_qp,0.1,1.6,1.7,0.08782381502856623,2.439420353056644,-2.351596538028078,1.317357225428542,1.8517531205426
p001,Q0,fairness_qp,0.1,1.7,1.8,0.05864609651152347,2.242173732783577,-2.1835276362720535,1.1893550668734612,1.8852013122353208
p001,Q0,fairness_qp,0.2,1.0,1.1,1.6545433558457119,2.214797646707751,-0.5602542908620389,0.7520651617480452,2.944954452563442
p001,Q0,fairness_qp,0.2,1.1,1.2,1.550138907588018,2.3814808598965134,-0.8313419523084953,0.704608594358197,3.379863485862985
p001,Q0,fairness_qp,0.2,1.2,1.3,1.4370701269737565,2.4337129681515983,-0.9966428411778416,0.6532136940789746,3.725753134405903
p001,Q0,fairness_qp,0.2,1.3,1.4,0.7297984074274289,2.3737908861728996,-1.6439924787454707,1.1884339482414117,1.9974108697294646
p001,Q0,fairness_qp,0.2,1.4,1.5,0.5449092761962218,2.2750729926648354,-1.7301637164686134,1.1988004076316923,1.8977913071946557
p001,Q0,fairness_qp,0.2,1.5,1.6,0.4910598435242247,2.1464664036259933,-1.6554065601017687,1.0803316557532887,1.9868587504541046
p001,Q0,fairness_qp,0.2,1.6,1.7,0.43911907514284504,1.9971040612724242,-1.5579849861295791,0.9660619653142632,2.067262901322028
p001,Q0,fairness_qp,0.2,1.7,1.8,0.3125844587576615,1.8355176930231059,-1.5229332342654445,0.9354167046273232,1.962246006451627
p001,Q0,fairness_qp,0.2,1.8,1.9,0.06885780707326788,1.6688828543240317,-1.6000250472507638,1.032867106099046,1.6157769421345047
p001,Q0,fairness_qp,0.2,1.9,2.0,0.06046826272190081,1.5031308546802555,-1.4426625919583547,0.9070239408285399,1.6572118849555275
p001,Q0,fairness_qp,0.3,1.0,1.1,1.6545433558457083,2.1570373217434518,-0.5024939658977434,0.7520651617480487,2.8681521648068133
p001,Q0,fairness_qp,0.3,1.1,1.2,1.5501389075880252,2.193679966378412,-0.6435410587903867,0.7046085943581901,3.1133312649650247
p001,Q0,fairness_qp,0.3,1.2,1.3,1.4370701269737531,2.1832444139132137,-0.7461742869394605,0.653213694078978,3.342312682209697
p001,Q0,fairness_qp,0.3,1.3,1.4,0.7297984074274289,2.1306397665283305,-1.4008413591009017,1.1884339482414117,1.7928129448684553
p001,Q0,fairness_qp,0.3,1.4,1.5,0.5449092761962218,2.042800087288528,-1.4978908110923062,1.1988004076316923,1.7040368640883363
p001,Q0,fairness_qp,0.3,1.5,1.6,0.4910598435242178,1.9278272172791946,-1.4367673737549769,1.0803316557532958,1.7844772084688711
p001,Q0,fairness_qp,0.3,1.6,1.7,0.439119075142852,1.7939881103005428,-1.3548690351576909,0.9660619653142564,1.8570114285753556
p001,Q0,fairness_qp,0.3,1.7,1.8,0.3900003635578034,1.6490225050188114,-1.259022141461008,0.8580007998271812,1.9219358599094056
p001,Q0,fairness_qp,0.3,1.8,1.9,0.3442890353663533,1.4994036536197033,-1.15511461825335,0.7574358778059607,1.97957833468752
p001,Q0,fairness_qp,0.3,1.9,2.0,0.302341313609511,1.3504901958932836,-1.0481488822837726,0.6651508899409297,2.0303516334665312
p001,Q0,flat_level,0.05,1.0,1.1,0.6777421875000036,13.292007953659208,-12.614265766159205,2.9368828124999995,4.525889796176268
p001,Q0,flat_level,0.1,1.0,1.1,1.1295703125000014,13.173329311215683,-12.043758998715681,2.4850546875000017,5.301021896008344
p001,Q0,flat_level,0.1,1.1,1.2,0.2259140624999989,14.716301064730153,-14.490387002230154,3.3887109374999973,4.342743106789457
p001,Q0,flat_level,0.2,1.0,1.1,1.1295703125000014,12.283239492890182,-11.15366918039018,2.4850546875000017,4.942844740872598
p001,Q0,flat_level,0.2,1.1,1.2,1.1295703125000014,13.721956398194465,-12.592386085694462,2.485054687499995,5.521792525217614
p001,Q0,flat_level,0.2,1.2,1.3,0.2259140624999989,15.254908929353828,-15.028994866853829,3.3887109375000044,4.501684921112811
p001,Q0,flat_level,0.2,1.3,1.4,0.07367062909434396,5.288129963476037,-5.214459334381694,1.1050594364151525,4.785380577022081
p001,Q0,flat_level,0.3,1.0,1.1,1.1295703125000014,10.799756462347828,-9.670186149847826,2.4850546875000017,4.345882815646414
