trajectory_id,scenario_id,spatial_pattern,coalition_size,profile_id,forecast_cv,penalty_to_export_value_ratio,control_id,control_role,beta,q_mode,method_id,interval_count,mean_selected_gamma,externality_interval_share,productive_high_request_interval_share,mean_private_utility_gain_mw_equivalent,mean_coalition_delivery_gain_mw,mean_outside_delivery_loss_mw,mean_total_delivery_change_mw,mean_system_delivery_loss_mw,mean_incremental_coalition_idle_award_mw,mean_reported_total_idle_award_mw,mean_request_attenuation_mw,mean_redistribution_mw,mean_jain_norm_change,terminal_mean_score,externality_gate_interval_share,replay_attempt_rate,replay_valid_rate,mean_replay_outsider_allocation_gain_mw,mean_replay_outsider_delivery_gain_mw,mean_replay_total_delivery_gain_mw,mean_replay_redistribution_mw,solver_pass_rate,ac_numerical_pass_rate,matched_q_pair_pass_rate,maximum_loading_ratio,minimum_voltage_pu,maximum_mva_excess,unique_request_solve_count,trajectory_hash
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::NO_FEEDBACK::Q0::weighted_proportional,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,NO_FEEDBACK,PENALTY_ONLY_BEHAVIORAL_REQUEST,0.0,Q0,weighted_proportional,16,1.7,0.375,0.3125,0.010101588997543098,0.010101588997543098,0.012636357072315557,-0.0025347680747724727,0.004543437924011573,0.009385464039799361,0.054500526932892535,0.0,0.01893360438944618,-0.0034897713598075475,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9090908971312973,0.9573365831684633,0.0,114,71D09D068AC290BFA5926450B0FD2CC6C7D5DEAFD66CBC992A24E29885FF915C
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::DELIVERY_RATIO_CF_BETA_050::Q0::weighted_proportional,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,DELIVERY_RATIO_CF_BETA_050,DELIVERY_ONLY_RATIO_FILTER_ABLATION,0.5,Q0,weighted_proportional,16,1.7,0.0625,0.625,0.009606673899489892,0.009606673899489892,0.008763237088139048,0.0008434368113508506,0.0015434244054484542,0.003923240195621465,0.0511271721020209,0.007427339952758669,0.012974040419589246,-0.0019646383270633255,0.9692932586217987,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9090909102803577,0.9572452706750626,0.0,114,3B3B299332D68300F40E0A42FAC4B18BBB579C13EAB64E000FB80117BAAE51C0
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_025::Q0::weighted_proportional,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,EXTERNALITY_CF_BETA_025,COUNTERFACTUAL_EXTERNALITY_CONDITIONED_FEEDBACK,0.25,Q0,weighted_proportional,16,1.7,0.0,0.5625,0.007672671896809983,0.007672671896809983,0.005720567123626718,0.0019521047731832775,0.0022988652343733373,0.0020771042813198634,0.04937278837404983,0.023807538829972524,0.014514716616632848,-0.0018928179687878743,0.8672280879621393,1.0,1.0,1.0,0.07311581984428059,0.0726565117525938,0.03611287778805357,0.07951612109143531,1.0,1.0,1.0,0.9090909150747983,0.9571812090001051,0.0,114,03B6697D032D95F48B6523859DD038C1EBB75EC3D8611B6D6E23192E180321EF
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::weighted_proportional,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,EXTERNALITY_CF_BETA_050,COUNTERFACTUAL_EXTERNALITY_CONDITIONED_FEEDBACK,0.5,Q0,weighted_proportional,16,1.7,0.0,0.5625,0.008233656340752288,0.008233656340752288,0.002378419118492225,0.0058552372222600985,0.0013536626362046777,0.00184674596307339,0.044629685411208646,0.04270468525543214,0.023935429901724037,-0.003128951212668117,0.8939993794759115,1.0,1.0,1.0,0.06376426911866405,0.06301220692780755,0.032510544483069476,0.06944780848730536,1.0,1.0,1.0,0.9090909138308708,0.9571509659292295,0.0,114,C7A6FFFC0F61F0C899ABBF1537B07A3B4D3D7E4AE37F4CBA8D57A708D900D4A4
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_100::Q0::weighted_proportional,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,EXTERNALITY_CF_BETA_100,COUNTERFACTUAL_EXTERNALITY_CONDITIONED_FEEDBACK,1.0,Q0,weighted_proportional,16,1.7,0.0625,0.375,0.005924000849154495,0.005924000849154495,0.020470918532922943,-0.014546917683768437,0.01912352215442284,0.006077611505864536,0.055097164613722695,0.09295610624999999,0.06026551571665757,-0.015479287674427099,0.91,1.0,1.0,1.0,0.0644065861040598,0.06423478458761832,0.04593155099024414,0.06890349215757834,1.0,1.0,1.0,0.9090909134328078,0.9568925610212693,0.0,114,6B879E2378967E4C167238A774DC6EDD427141A4F252AC0DA0459828E9A653E2
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050::Q0::weighted_proportional,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,EQUAL_ATTENUATION_UNIFORM_CONTROL,,Q0,weighted_proportional,16,1.7,0.375,0.3125,0.010101588997540014,0.010101588997540014,0.012636357072492095,-0.0025347680749520513,0.004543437924149865,0.009385464039787687,0.05450052693279705,0.042704685255432195,0.018933604389568977,-0.0034897713598076863,0.7416423674552671,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9090909122016069,0.9573365831522281,0.0,114,6AF22004FB24BEA1A11606F88D0B12CA4F12641CFAE1305B1C5CA1F0EA89B349
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::NO_FEEDBACK::Q0::equal_kw_reduction,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,NO_FEEDBACK,PENALTY_ONLY_BEHAVIORAL_REQUEST,0.0,Q0,equal_kw_reduction,16,1.5,0.375,0.3125,0.008345853565966083,0.008345853565966083,0.012865253328799026,-0.004519399762832957,0.006981200420470193,0.015129761076750566,0.09811667956190134,0.0,0.02044420232332504,-0.011957496441968307,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9090908991504898,0.9579096552919862,0.0,121,43588CE120E30A211A596D97584357C9FE341DCB400FB4A91886245171E340B9
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::DELIVERY_RATIO_CF_BETA_050::Q0::equal_kw_reduction,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,DELIVERY_RATIO_CF_BETA_050,DELIVERY_ONLY_RATIO_FILTER_ABLATION,0.5,Q0,equal_kw_reduction,16,1.5,0.3125,0.375,0.007832945411978112,0.007832945411978112,0.006921266633780298,0.000911678778197797,0.001812670547502171,0.005432778410858345,0.09048142015500762,0.010495809032523631,0.011460755604681265,-0.0058528685689874516,0.9553411493084265,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9090909114629495,0.9577569148844634,0.0,121,B3926254821B7FB359D43D5F86AD54C78895CE3047066FA5F66E94A8DF2AAC3F
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_025::Q0::equal_kw_reduction,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,EXTERNALITY_CF_BETA_025,COUNTERFACTUAL_EXTERNALITY_CONDITIONED_FEEDBACK,0.25,Q0,equal_kw_reduction,16,1.5,0.0625,0.5,0.006257517677145821,0.006257517677145821,0.006584333300628034,-0.0003268156234822184,0.0034190824769103623,0.0026281660972931912,0.08574028142733789,0.025418070907974405,0.013962121856042328,-0.0022870644447476746,0.8786786370945628,1.0,1.0,1.0,0.04975577958281781,0.0486174564774395,0.02508578766379084,0.0795138649119022,1.0,1.0,1.0,0.9090909163847962,0.9576737965331187,0.0,121,26225EA5A6C643C4905034F2D0942099A4B9ECF07DCDBC0F7A44AA2C553C0EB5
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::equal_kw_reduction,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,EXTERNALITY_CF_BETA_050,COUNTERFACTUAL_EXTERNALITY_CONDITIONED_FEEDBACK,0.5,Q0,equal_kw_reduction,16,1.5,0.0,0.625,0.006250365656063304,0.006250365656063304,-0.004114086091115459,0.010364451747178746,0.00017922164482632452,0.0018529679164740356,0.061880525646370574,0.053546443536758415,0.029493510107897247,0.004548834270502247,0.8990977732340496,1.0,1.0,1.0,0.040261792662771585,0.039400537814506476,0.01890364745083542,0.06131960433640662,1.0,1.0,1.0,0.9090909202272458,0.9574586190197125,0.0,121,88EC899D197B3003BC0F8A611DB275F7E876809C2B8D31227BFF3A599D8C387C
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_100::Q0::equal_kw_reduction,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,EXTERNALITY_CF_BETA_100,COUNTERFACTUAL_EXTERNALITY_CONDITIONED_FEEDBACK,1.0,Q0,equal_kw_reduction,16,1.5,0.25,0.125,0.0035833682783100464,0.0035833682783100464,0.025423305703844146,-0.021839937425534084,0.02249371750197844,0.0078020361607875535,0.07492135982156442,0.09253439999999999,0.05998173806000759,0.0028810308056315473,0.91,1.0,1.0,1.0,0.041826096228385005,0.041613128218928964,0.029030097601496663,0.06466524333369086,1.0,1.0,1.0,0.9090909154346974,0.9572913497494948,0.0,121,63C0FA5F294F0962DEB89D00BDB5904705F97F73567407FAC39C8B079C552537
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050::Q0::equal_kw_reduction,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,EQUAL_ATTENUATION_UNIFORM_CONTROL,,Q0,equal_kw_reduction,16,1.5,0.4375,0.25,0.008264096809168422,0.008264096809168422,0.020413519611858777,-0.012149422802690393,0.013166385811735917,0.013598389700845016,0.08935783169081338,0.05354644353675836,0.02870081733424597,0.0022617111610891694,0.7281671717745144,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9090909185656196,0.9577174714215131,0.0,121,6A2D12BA67F661D8642E3C818507C76DEE88CC215E1B3E359CDA40F8CCBC651A
